Category: All categories

Week,alchevsk: (Worldwide)
2022-02-20,26
2022-02-27,30
2022-03-06,0
2022-03-13,0
2022-03-20,26
2022-03-27,19
2022-04-03,6
2022-04-10,41
2022-04-17,17
2022-04-24,0
2022-05-01,25
2022-05-08,12
2022-05-15,0
2022-05-22,14
2022-05-29,22
2022-06-05,15
2022-06-12,13
2022-06-19,100
2022-06-26,57
2022-07-03,17
2022-07-10,62
2022-07-17,61
2022-07-24,17
2022-07-31,13
2022-08-07,0
2022-08-14,0
2022-08-21,19
2022-08-28,0
2022-09-04,21
2022-09-11,32
2022-09-18,27
2022-09-25,23
2022-10-02,31
2022-10-09,9
2022-10-16,15
2022-10-23,14
2022-10-30,29
2022-11-06,10
2022-11-13,24
2022-11-20,8
2022-11-27,0
2022-12-04,10
2022-12-11,19
2022-12-18,0
2022-12-25,42
2023-01-01,18
2023-01-08,0
2023-01-15,21
2023-01-22,0
2023-01-29,9
2023-02-05,16
2023-02-12,9
2023-02-19,0
2023-02-26,16
2023-03-05,9
2023-03-12,11
2023-03-19,11
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,12
2023-04-23,6
2023-04-30,37
2023-05-07,0
2023-05-14,0
2023-05-21,9
2023-05-28,11
2023-06-04,9
2023-06-11,10
2023-06-18,9
2023-06-25,0
2023-07-02,20
2023-07-09,12
2023-07-16,10
