Category: All categories

Week,Alushta: (Worldwide)
2022-02-20,37
2022-02-27,30
2022-03-06,33
2022-03-13,34
2022-03-20,38
2022-03-27,44
2022-04-03,44
2022-04-10,45
2022-04-17,43
2022-04-24,43
2022-05-01,46
2022-05-08,45
2022-05-15,48
2022-05-22,53
2022-05-29,55
2022-06-05,63
2022-06-12,72
2022-06-19,80
2022-06-26,79
2022-07-03,76
2022-07-10,83
2022-07-17,82
2022-07-24,77
2022-07-31,85
2022-08-07,100
2022-08-14,83
2022-08-21,72
2022-08-28,59
2022-09-04,55
2022-09-11,53
2022-09-18,48
2022-09-25,41
2022-10-02,35
2022-10-09,34
2022-10-16,34
2022-10-23,34
2022-10-30,36
2022-11-06,31
2022-11-13,30
2022-11-20,29
2022-11-27,27
2022-12-04,29
2022-12-11,31
2022-12-18,32
2022-12-25,31
2023-01-01,35
2023-01-08,33
2023-01-15,35
2023-01-22,33
2023-01-29,36
2023-02-05,31
2023-02-12,32
2023-02-19,31
2023-02-26,36
2023-03-05,31
2023-03-12,37
2023-03-19,37
2023-03-26,38
2023-04-02,34
2023-04-09,34
2023-04-16,38
2023-04-23,42
2023-04-30,37
2023-05-07,34
2023-05-14,41
2023-05-21,38
2023-05-28,51
2023-06-04,50
2023-06-11,52
2023-06-18,54
2023-06-25,59
2023-07-02,63
2023-07-09,75
2023-07-16,60
2023-07-23,60
