Category: All categories

Week,Amvrosiivka: (Worldwide)
2022-02-20,48
2022-02-27,45
2022-03-06,40
2022-03-13,43
2022-03-20,50
2022-03-27,36
2022-04-03,60
2022-04-10,60
2022-04-17,62
2022-04-24,40
2022-05-01,43
2022-05-08,51
2022-05-15,68
2022-05-22,61
2022-05-29,50
2022-06-05,47
2022-06-12,59
2022-06-19,71
2022-06-26,49
2022-07-03,55
2022-07-10,54
2022-07-17,46
2022-07-24,28
2022-07-31,30
2022-08-07,17
2022-08-14,100
2022-08-21,31
2022-08-28,44
2022-09-04,27
2022-09-11,41
2022-09-18,41
2022-09-25,30
2022-10-02,29
2022-10-09,33
2022-10-16,31
2022-10-23,35
2022-10-30,32
2022-11-06,31
2022-11-13,32
2022-11-20,35
2022-11-27,41
2022-12-04,27
2022-12-11,34
2022-12-18,31
2022-12-25,28
2023-01-01,26
2023-01-08,29
2023-01-15,25
2023-01-22,31
2023-01-29,19
2023-02-05,29
2023-02-12,24
2023-02-19,26
2023-02-26,26
2023-03-05,23
2023-03-12,29
2023-03-19,24
2023-03-26,37
2023-04-02,38
2023-04-09,34
2023-04-16,26
2023-04-23,30
2023-04-30,17
2023-05-07,25
2023-05-14,21
2023-05-21,35
2023-05-28,28
2023-06-04,18
2023-06-11,22
2023-06-18,15
2023-06-25,13
2023-07-02,21
2023-07-09,20
2023-07-16,19
2023-07-23,17
