Category: All categories

Week,Antratsyt: (Worldwide)
2022-02-20,77
2022-02-27,70
2022-03-06,69
2022-03-13,84
2022-03-20,68
2022-03-27,85
2022-04-03,95
2022-04-10,84
2022-04-17,87
2022-04-24,72
2022-05-01,75
2022-05-08,86
2022-05-15,100
2022-05-22,89
2022-05-29,97
2022-06-05,74
2022-06-12,86
2022-06-19,84
2022-06-26,84
2022-07-03,82
2022-07-10,80
2022-07-17,70
2022-07-24,53
2022-07-31,64
2022-08-07,40
2022-08-14,59
2022-08-21,41
2022-08-28,57
2022-09-04,58
2022-09-11,58
2022-09-18,57
2022-09-25,55
2022-10-02,44
2022-10-09,72
2022-10-16,59
2022-10-23,59
2022-10-30,64
2022-11-06,47
2022-11-13,58
2022-11-20,48
2022-11-27,55
2022-12-04,57
2022-12-11,47
2022-12-18,42
2022-12-25,50
2023-01-01,52
2023-01-08,59
2023-01-15,45
2023-01-22,39
2023-01-29,40
2023-02-05,52
2023-02-12,53
2023-02-19,48
2023-02-26,48
2023-03-05,43
2023-03-12,50
2023-03-19,49
2023-03-26,59
2023-04-02,49
2023-04-09,48
2023-04-16,51
2023-04-23,58
2023-04-30,51
2023-05-07,44
2023-05-14,39
2023-05-21,59
2023-05-28,52
2023-06-04,42
2023-06-11,41
2023-06-18,34
2023-06-25,45
2023-07-02,48
2023-07-09,49
2023-07-16,40
2023-07-23,42
