Category: All categories

Week,Avdiivka: (Worldwide)
2022-02-20,39
2022-02-27,33
2022-03-06,28
2022-03-13,78
2022-03-20,59
2022-03-27,35
2022-04-03,36
2022-04-10,39
2022-04-17,32
2022-04-24,30
2022-05-01,40
2022-05-08,48
2022-05-15,44
2022-05-22,70
2022-05-29,41
2022-06-05,45
2022-06-12,32
2022-06-19,30
2022-06-26,23
2022-07-03,32
2022-07-10,31
2022-07-17,26
2022-07-24,45
2022-07-31,62
2022-08-07,30
2022-08-14,30
2022-08-21,24
2022-08-28,16
2022-09-04,16
2022-09-11,15
2022-09-18,12
2022-09-25,11
2022-10-02,13
2022-10-09,27
2022-10-16,13
2022-10-23,16
2022-10-30,16
2022-11-06,17
2022-11-13,16
2022-11-20,13
2022-11-27,15
2022-12-04,31
2022-12-11,18
2022-12-18,13
2022-12-25,13
2023-01-01,15
2023-01-08,20
2023-01-15,17
2023-01-22,16
2023-01-29,13
2023-02-05,17
2023-02-12,17
2023-02-19,26
2023-02-26,25
2023-03-05,26
2023-03-12,38
2023-03-19,85
2023-03-26,100
2023-04-02,44
2023-04-09,31
2023-04-16,33
2023-04-23,23
2023-04-30,29
2023-05-07,19
2023-05-14,18
2023-05-21,28
2023-05-28,22
2023-06-04,16
2023-06-11,17
2023-06-18,13
2023-06-25,12
2023-07-02,20
2023-07-09,16
2023-07-16,12
