Category: All categories

Week,bakhmut: (Worldwide)
2022-02-20,<1
2022-02-27,<1
2022-03-06,<1
2022-03-13,<1
2022-03-20,<1
2022-03-27,<1
2022-04-03,<1
2022-04-10,<1
2022-04-17,<1
2022-04-24,<1
2022-05-01,<1
2022-05-08,1
2022-05-15,1
2022-05-22,2
2022-05-29,1
2022-06-05,1
2022-06-12,1
2022-06-19,<1
2022-06-26,1
2022-07-03,1
2022-07-10,2
2022-07-17,1
2022-07-24,1
2022-07-31,3
2022-08-07,3
2022-08-14,2
2022-08-21,1
2022-08-28,1
2022-09-04,1
2022-09-11,3
2022-09-18,4
2022-09-25,3
2022-10-02,5
2022-10-09,8
2022-10-16,14
2022-10-23,8
2022-10-30,5
2022-11-06,5
2022-11-13,4
2022-11-20,5
2022-11-27,17
2022-12-04,16
2022-12-11,16
2022-12-18,20
2022-12-25,17
2023-01-01,15
2023-01-08,24
2023-01-15,12
2023-01-22,13
2023-01-29,16
2023-02-05,21
2023-02-12,25
2023-02-19,23
2023-02-26,60
2023-03-05,73
2023-03-12,45
2023-03-19,34
2023-03-26,33
2023-04-02,39
2023-04-09,33
2023-04-16,29
2023-04-23,25
2023-04-30,33
2023-05-07,46
2023-05-14,52
2023-05-21,100
2023-05-28,19
2023-06-04,15
2023-06-11,10
2023-06-18,11
2023-06-25,10
2023-07-02,9
2023-07-09,12
2023-07-16,7
