Category: All categories

Week,Baturyn: (Worldwide)
2022-02-20,81
2022-02-27,24
2022-03-06,32
2022-03-13,31
2022-03-20,38
2022-03-27,52
2022-04-03,100
2022-04-10,63
2022-04-17,40
2022-04-24,39
2022-05-01,45
2022-05-08,45
2022-05-15,43
2022-05-22,36
2022-05-29,32
2022-06-05,46
2022-06-12,48
2022-06-19,39
2022-06-26,50
2022-07-03,49
2022-07-10,47
2022-07-17,51
2022-07-24,55
2022-07-31,42
2022-08-07,39
2022-08-14,36
2022-08-21,27
2022-08-28,51
2022-09-04,38
2022-09-11,41
2022-09-18,40
2022-09-25,36
2022-10-02,29
2022-10-09,47
2022-10-16,37
2022-10-23,38
2022-10-30,41
2022-11-06,48
2022-11-13,43
2022-11-20,38
2022-11-27,30
2022-12-04,34
2022-12-11,39
2022-12-18,27
2022-12-25,35
2023-01-01,51
2023-01-08,35
2023-01-15,30
2023-01-22,39
2023-01-29,39
2023-02-05,24
2023-02-12,39
2023-02-19,40
2023-02-26,40
2023-03-05,38
2023-03-12,42
2023-03-19,42
2023-03-26,42
2023-04-02,55
2023-04-09,50
2023-04-16,34
2023-04-23,54
2023-04-30,45
2023-05-07,45
2023-05-14,45
2023-05-21,43
2023-05-28,40
2023-06-04,41
2023-06-11,51
2023-06-18,46
2023-06-25,45
2023-07-02,48
2023-07-09,49
2023-07-16,58
2023-07-23,45
