Category: All categories

Week,berdiansk: (Worldwide)
2022-02-20,9
2022-02-27,100
2022-03-06,8
2022-03-13,12
2022-03-20,55
2022-03-27,8
2022-04-03,8
2022-04-10,5
2022-04-17,3
2022-04-24,6
2022-05-01,7
2022-05-08,4
2022-05-15,1
2022-05-22,1
2022-05-29,10
2022-06-05,3
2022-06-12,1
2022-06-19,0
2022-06-26,4
2022-07-03,3
2022-07-10,1
2022-07-17,2
2022-07-24,0
2022-07-31,0
2022-08-07,2
2022-08-14,1
2022-08-21,0
2022-08-28,4
2022-09-04,7
2022-09-11,7
2022-09-18,3
2022-09-25,2
2022-10-02,1
2022-10-09,2
2022-10-16,2
2022-10-23,0
2022-10-30,2
2022-11-06,2
2022-11-13,3
2022-11-20,0
2022-11-27,0
2022-12-04,9
2022-12-11,0
2022-12-18,2
2022-12-25,4
2023-01-01,2
2023-01-08,3
2023-01-15,2
2023-01-22,2
2023-01-29,3
2023-02-05,4
2023-02-12,2
2023-02-19,5
2023-02-26,1
2023-03-05,2
2023-03-12,1
2023-03-19,2
2023-03-26,2
2023-04-02,3
2023-04-09,1
2023-04-16,0
2023-04-23,5
2023-04-30,7
2023-05-07,0
2023-05-14,1
2023-05-21,22
2023-05-28,19
2023-06-04,5
2023-06-11,12
2023-06-18,4
2023-06-25,18
2023-07-02,6
2023-07-09,10
2023-07-16,7
