Category: All categories

Week,Berdychiv: (Worldwide)
2022-02-20,84
2022-02-27,100
2022-03-06,85
2022-03-13,100
2022-03-20,73
2022-03-27,75
2022-04-03,75
2022-04-10,82
2022-04-17,70
2022-04-24,70
2022-05-01,71
2022-05-08,70
2022-05-15,75
2022-05-22,77
2022-05-29,75
2022-06-05,75
2022-06-12,74
2022-06-19,80
2022-06-26,73
2022-07-03,77
2022-07-10,85
2022-07-17,77
2022-07-24,79
2022-07-31,83
2022-08-07,84
2022-08-14,78
2022-08-21,69
2022-08-28,71
2022-09-04,74
2022-09-11,77
2022-09-18,80
2022-09-25,67
2022-10-02,73
2022-10-09,62
2022-10-16,68
2022-10-23,64
2022-10-30,66
2022-11-06,68
2022-11-13,66
2022-11-20,65
2022-11-27,58
2022-12-04,59
2022-12-11,67
2022-12-18,61
2022-12-25,68
2023-01-01,69
2023-01-08,66
2023-01-15,61
2023-01-22,61
2023-01-29,65
2023-02-05,67
2023-02-12,70
2023-02-19,66
2023-02-26,68
2023-03-05,73
2023-03-12,74
2023-03-19,82
2023-03-26,91
2023-04-02,86
2023-04-09,82
2023-04-16,84
2023-04-23,82
2023-04-30,75
2023-05-07,77
2023-05-14,75
2023-05-21,76
2023-05-28,70
2023-06-04,75
2023-06-11,79
2023-06-18,86
2023-06-25,86
2023-07-02,87
2023-07-09,85
2023-07-16,78
2023-07-23,73
