Category: All categories

Week,Bereznehuvate: (Worldwide)
2022-02-20,38
2022-02-27,76
2022-03-06,41
2022-03-13,30
2022-03-20,71
2022-03-27,35
2022-04-03,39
2022-04-10,41
2022-04-17,41
2022-04-24,34
2022-05-01,33
2022-05-08,48
2022-05-15,53
2022-05-22,73
2022-05-29,54
2022-06-05,74
2022-06-12,43
2022-06-19,56
2022-06-26,63
2022-07-03,55
2022-07-10,93
2022-07-17,57
2022-07-24,61
2022-07-31,80
2022-08-07,69
2022-08-14,73
2022-08-21,62
2022-08-28,66
2022-09-04,51
2022-09-11,66
2022-09-18,59
2022-09-25,66
2022-10-02,69
2022-10-09,55
2022-10-16,60
2022-10-23,55
2022-10-30,71
2022-11-06,64
2022-11-13,67
2022-11-20,35
2022-11-27,51
2022-12-04,31
2022-12-11,44
2022-12-18,46
2022-12-25,56
2023-01-01,53
2023-01-08,54
2023-01-15,36
2023-01-22,42
2023-01-29,37
2023-02-05,40
2023-02-12,28
2023-02-19,42
2023-02-26,30
2023-03-05,57
2023-03-12,29
2023-03-19,32
2023-03-26,66
2023-04-02,55
2023-04-09,51
2023-04-16,51
2023-04-23,52
2023-04-30,49
2023-05-07,52
2023-05-14,45
2023-05-21,68
2023-05-28,38
2023-06-04,52
2023-06-11,70
2023-06-18,25
2023-06-25,66
2023-07-02,40
2023-07-09,55
2023-07-16,61
2023-07-23,100
