Category: All categories

Week,bila tserkva: (Worldwide)
2022-02-20,54
2022-02-27,100
2022-03-06,57
2022-03-13,24
2022-03-20,18
2022-03-27,8
2022-04-03,25
2022-04-10,22
2022-04-17,13
2022-04-24,13
2022-05-01,11
2022-05-08,0
2022-05-15,9
2022-05-22,11
2022-05-29,11
2022-06-05,9
2022-06-12,11
2022-06-19,9
2022-06-26,6
2022-07-03,8
2022-07-10,9
2022-07-17,14
2022-07-24,9
2022-07-31,6
2022-08-07,8
2022-08-14,5
2022-08-21,10
2022-08-28,9
2022-09-04,7
2022-09-11,9
2022-09-18,9
2022-09-25,11
2022-10-02,69
2022-10-09,14
2022-10-16,16
2022-10-23,5
2022-10-30,11
2022-11-06,13
2022-11-13,5
2022-11-20,5
2022-11-27,5
2022-12-04,12
2022-12-11,10
2022-12-18,9
2022-12-25,4
2023-01-01,6
2023-01-08,12
2023-01-15,4
2023-01-22,12
2023-01-29,12
2023-02-05,0
2023-02-12,7
2023-02-19,7
2023-02-26,10
2023-03-05,7
2023-03-12,6
2023-03-19,3
2023-03-26,6
2023-04-02,0
2023-04-09,5
2023-04-16,4
2023-04-23,5
2023-04-30,9
2023-05-07,13
2023-05-14,8
2023-05-21,5
2023-05-28,2
2023-06-04,5
2023-06-11,5
2023-06-18,7
2023-06-25,5
2023-07-02,6
2023-07-09,4
2023-07-16,7
