Category: All categories

Week,bilmak: (Worldwide)
2022-02-20,0
2022-02-27,0
2022-03-06,100
2022-03-13,31
2022-03-20,50
2022-03-27,25
2022-04-03,64
2022-04-10,46
2022-04-17,69
2022-04-24,0
2022-05-01,50
2022-05-08,0
2022-05-15,94
2022-05-22,55
2022-05-29,0
2022-06-05,94
2022-06-12,0
2022-06-19,0
2022-06-26,37
2022-07-03,40
2022-07-10,29
2022-07-17,0
2022-07-24,33
2022-07-31,56
2022-08-07,100
2022-08-14,0
2022-08-21,78
2022-08-28,43
2022-09-04,24
2022-09-11,53
2022-09-18,0
2022-09-25,36
2022-10-02,24
2022-10-09,72
2022-10-16,59
2022-10-23,0
2022-10-30,0
2022-11-06,36
2022-11-13,0
2022-11-20,69
2022-11-27,0
2022-12-04,35
2022-12-11,68
2022-12-18,0
2022-12-25,47
2023-01-01,91
2023-01-08,0
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,68
2023-02-12,97
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,74
2023-03-19,25
2023-03-26,49
2023-04-02,71
2023-04-09,35
2023-04-16,0
2023-04-23,43
2023-04-30,0
2023-05-07,25
2023-05-14,0
2023-05-21,0
2023-05-28,0
2023-06-04,82
2023-06-11,79
2023-06-18,31
2023-06-25,0
2023-07-02,26
2023-07-09,78
2023-07-16,0
