Category: All categories

Week,Bilohirs'k: (Worldwide)
2022-02-20,66
2022-02-27,70
2022-03-06,52
2022-03-13,78
2022-03-20,86
2022-03-27,74
2022-04-03,84
2022-04-10,79
2022-04-17,77
2022-04-24,71
2022-05-01,89
2022-05-08,74
2022-05-15,85
2022-05-22,80
2022-05-29,55
2022-06-05,83
2022-06-12,64
2022-06-19,93
2022-06-26,99
2022-07-03,87
2022-07-10,70
2022-07-17,74
2022-07-24,77
2022-07-31,85
2022-08-07,74
2022-08-14,85
2022-08-21,68
2022-08-28,79
2022-09-04,58
2022-09-11,81
2022-09-18,82
2022-09-25,65
2022-10-02,74
2022-10-09,60
2022-10-16,69
2022-10-23,58
2022-10-30,67
2022-11-06,79
2022-11-13,77
2022-11-20,71
2022-11-27,67
2022-12-04,67
2022-12-11,70
2022-12-18,92
2022-12-25,53
2023-01-01,60
2023-01-08,65
2023-01-15,59
2023-01-22,72
2023-01-29,68
2023-02-05,89
2023-02-12,83
2023-02-19,54
2023-02-26,72
2023-03-05,75
2023-03-12,61
2023-03-19,70
2023-03-26,86
2023-04-02,85
2023-04-09,71
2023-04-16,80
2023-04-23,84
2023-04-30,74
2023-05-07,94
2023-05-14,77
2023-05-21,84
2023-05-28,82
2023-06-04,77
2023-06-11,81
2023-06-18,59
2023-06-25,83
2023-07-02,73
2023-07-09,65
2023-07-16,56
2023-07-23,100
