Category: All categories

Week,bilohorivka: (Worldwide)
2022-02-20,0
2022-02-27,2
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,1
2022-04-03,1
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,0
2022-05-08,90
2022-05-15,50
2022-05-22,10
2022-05-29,3
2022-06-05,4
2022-06-12,1
2022-06-19,0
2022-06-26,4
2022-07-03,14
2022-07-10,8
2022-07-17,3
2022-07-24,3
2022-07-31,0
2022-08-07,2
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,2
2022-09-11,25
2022-09-18,100
2022-09-25,7
2022-10-02,6
2022-10-09,4
2022-10-16,3
2022-10-23,9
2022-10-30,4
2022-11-06,3
2022-11-13,2
2022-11-20,3
2022-11-27,2
2022-12-04,1
2022-12-11,1
2022-12-18,3
2022-12-25,5
2023-01-01,0
2023-01-08,1
2023-01-15,2
2023-01-22,9
2023-01-29,5
2023-02-05,10
2023-02-12,3
2023-02-19,2
2023-02-26,2
2023-03-05,4
2023-03-12,1
2023-03-19,0
2023-03-26,1
2023-04-02,1
2023-04-09,3
2023-04-16,0
2023-04-23,0
2023-04-30,3
2023-05-07,3
2023-05-14,1
2023-05-21,4
2023-05-28,3
2023-06-04,3
2023-06-11,5
2023-06-18,0
2023-06-25,0
2023-07-02,1
2023-07-09,0
2023-07-16,0
