Category: All categories

Week,Bilovods'k: (Worldwide)
2022-02-20,100
2022-02-27,50
2022-03-06,32
2022-03-13,29
2022-03-20,27
2022-03-27,20
2022-04-03,22
2022-04-10,22
2022-04-17,21
2022-04-24,24
2022-05-01,26
2022-05-08,30
2022-05-15,34
2022-05-22,30
2022-05-29,33
2022-06-05,22
2022-06-12,27
2022-06-19,25
2022-06-26,20
2022-07-03,25
2022-07-10,26
2022-07-17,19
2022-07-24,26
2022-07-31,26
2022-08-07,19
2022-08-14,17
2022-08-21,17
2022-08-28,20
2022-09-04,21
2022-09-11,19
2022-09-18,18
2022-09-25,24
2022-10-02,19
2022-10-09,17
2022-10-16,25
2022-10-23,28
2022-10-30,27
2022-11-06,20
2022-11-13,24
2022-11-20,26
2022-11-27,22
2022-12-04,22
2022-12-11,24
2022-12-18,28
2022-12-25,21
2023-01-01,21
2023-01-08,31
2023-01-15,28
2023-01-22,22
2023-01-29,21
2023-02-05,23
2023-02-12,26
2023-02-19,26
2023-02-26,21
2023-03-05,23
2023-03-12,25
2023-03-19,22
2023-03-26,22
2023-04-02,27
2023-04-09,26
2023-04-16,30
2023-04-23,27
2023-04-30,20
2023-05-07,24
2023-05-14,23
2023-05-21,29
2023-05-28,20
2023-06-04,20
2023-06-11,23
2023-06-18,20
2023-06-25,22
2023-07-02,21
2023-07-09,17
2023-07-16,18
