Category: All categories

Week,Bilozerka: (Worldwide)
2022-02-20,54
2022-02-27,39
2022-03-06,46
2022-03-13,100
2022-03-20,54
2022-03-27,44
2022-04-03,59
2022-04-10,40
2022-04-17,34
2022-04-24,27
2022-05-01,22
2022-05-08,18
2022-05-15,43
2022-05-22,67
2022-05-29,20
2022-06-05,17
2022-06-12,6
2022-06-19,24
2022-06-26,7
2022-07-03,21
2022-07-10,17
2022-07-17,20
2022-07-24,15
2022-07-31,20
2022-08-07,14
2022-08-14,17
2022-08-21,14
2022-08-28,40
2022-09-04,23
2022-09-11,21
2022-09-18,20
2022-09-25,9
2022-10-02,14
2022-10-09,17
2022-10-16,18
2022-10-23,15
2022-10-30,23
2022-11-06,47
2022-11-13,19
2022-11-20,16
2022-11-27,16
2022-12-04,11
2022-12-11,18
2022-12-18,18
2022-12-25,13
2023-01-01,12
2023-01-08,22
2023-01-15,16
2023-01-22,26
2023-01-29,17
2023-02-05,29
2023-02-12,29
2023-02-19,38
2023-02-26,22
2023-03-05,11
2023-03-12,17
2023-03-19,21
2023-03-26,14
2023-04-02,21
2023-04-09,17
2023-04-16,27
2023-04-23,26
2023-04-30,23
2023-05-07,19
2023-05-14,24
2023-05-21,14
2023-05-28,21
2023-06-04,31
2023-06-11,30
2023-06-18,14
2023-06-25,22
2023-07-02,20
2023-07-09,21
2023-07-16,20
2023-07-23,18
