Category: All categories

Week,Bilozers'ke: (Worldwide)
2022-02-20,43
2022-02-27,55
2022-03-06,49
2022-03-13,70
2022-03-20,65
2022-03-27,100
2022-04-03,69
2022-04-10,29
2022-04-17,38
2022-04-24,41
2022-05-01,47
2022-05-08,47
2022-05-15,53
2022-05-22,47
2022-05-29,51
2022-06-05,30
2022-06-12,65
2022-06-19,43
2022-06-26,42
2022-07-03,62
2022-07-10,57
2022-07-17,59
2022-07-24,52
2022-07-31,66
2022-08-07,58
2022-08-14,56
2022-08-21,26
2022-08-28,48
2022-09-04,24
2022-09-11,44
2022-09-18,47
2022-09-25,58
2022-10-02,58
2022-10-09,45
2022-10-16,64
2022-10-23,55
2022-10-30,56
2022-11-06,54
2022-11-13,44
2022-11-20,58
2022-11-27,62
2022-12-04,70
2022-12-11,54
2022-12-18,54
2022-12-25,55
2023-01-01,64
2023-01-08,60
2023-01-15,69
2023-01-22,62
2023-01-29,54
2023-02-05,36
2023-02-12,44
2023-02-19,61
2023-02-26,72
2023-03-05,57
2023-03-12,52
2023-03-19,40
2023-03-26,66
2023-04-02,39
2023-04-09,64
2023-04-16,70
2023-04-23,87
2023-04-30,71
2023-05-07,50
2023-05-14,72
2023-05-21,56
2023-05-28,75
2023-06-04,74
2023-06-11,70
2023-06-18,65
2023-06-25,70
2023-07-02,75
2023-07-09,58
2023-07-16,76
2023-07-23,99
