Category: All categories

Week,Bilyts'ke: (Worldwide)
2022-02-20,63
2022-02-27,51
2022-03-06,41
2022-03-13,60
2022-03-20,70
2022-03-27,69
2022-04-03,59
2022-04-10,45
2022-04-17,41
2022-04-24,42
2022-05-01,38
2022-05-08,59
2022-05-15,49
2022-05-22,71
2022-05-29,65
2022-06-05,46
2022-06-12,51
2022-06-19,32
2022-06-26,43
2022-07-03,57
2022-07-10,67
2022-07-17,66
2022-07-24,72
2022-07-31,54
2022-08-07,62
2022-08-14,100
2022-08-21,60
2022-08-28,42
2022-09-04,40
2022-09-11,54
2022-09-18,30
2022-09-25,41
2022-10-02,43
2022-10-09,33
2022-10-16,32
2022-10-23,54
2022-10-30,65
2022-11-06,41
2022-11-13,87
2022-11-20,37
2022-11-27,44
2022-12-04,47
2022-12-11,37
2022-12-18,55
2022-12-25,35
2023-01-01,59
2023-01-08,60
2023-01-15,30
2023-01-22,31
2023-01-29,28
2023-02-05,49
2023-02-12,45
2023-02-19,73
2023-02-26,57
2023-03-05,41
2023-03-12,58
2023-03-19,64
2023-03-26,79
2023-04-02,71
2023-04-09,64
2023-04-16,68
2023-04-23,86
2023-04-30,55
2023-05-07,49
2023-05-14,44
2023-05-21,65
2023-05-28,49
2023-06-04,71
2023-06-11,54
2023-06-18,44
2023-06-25,54
2023-07-02,86
2023-07-09,30
2023-07-16,53
2023-07-23,56
