Category: All categories

Week,Bohodukhiv: (Worldwide)
2022-02-20,55
2022-02-27,60
2022-03-06,69
2022-03-13,66
2022-03-20,71
2022-03-27,78
2022-04-03,81
2022-04-10,89
2022-04-17,83
2022-04-24,76
2022-05-01,91
2022-05-08,100
2022-05-15,79
2022-05-22,75
2022-05-29,82
2022-06-05,61
2022-06-12,79
2022-06-19,83
2022-06-26,59
2022-07-03,72
2022-07-10,77
2022-07-17,77
2022-07-24,83
2022-07-31,71
2022-08-07,76
2022-08-14,74
2022-08-21,58
2022-08-28,62
2022-09-04,63
2022-09-11,66
2022-09-18,65
2022-09-25,58
2022-10-02,62
2022-10-09,52
2022-10-16,57
2022-10-23,56
2022-10-30,54
2022-11-06,49
2022-11-13,66
2022-11-20,50
2022-11-27,56
2022-12-04,47
2022-12-11,67
2022-12-18,52
2022-12-25,56
2023-01-01,57
2023-01-08,59
2023-01-15,55
2023-01-22,51
2023-01-29,54
2023-02-05,54
2023-02-12,63
2023-02-19,57
2023-02-26,59
2023-03-05,61
2023-03-12,59
2023-03-19,67
2023-03-26,96
2023-04-02,73
2023-04-09,70
2023-04-16,70
2023-04-23,73
2023-04-30,59
2023-05-07,53
2023-05-14,56
2023-05-21,75
2023-05-28,61
2023-06-04,56
2023-06-11,64
2023-06-18,57
2023-06-25,67
2023-07-02,71
2023-07-09,73
2023-07-16,56
2023-07-23,64
