Category: All categories

Week,Borova: (Worldwide)
2022-02-20,14
2022-02-27,16
2022-03-06,9
2022-03-13,8
2022-03-20,8
2022-03-27,12
2022-04-03,32
2022-04-10,68
2022-04-17,31
2022-04-24,13
2022-05-01,14
2022-05-08,32
2022-05-15,7
2022-05-22,10
2022-05-29,8
2022-06-05,8
2022-06-12,7
2022-06-19,6
2022-06-26,6
2022-07-03,7
2022-07-10,7
2022-07-17,4
2022-07-24,8
2022-07-31,8
2022-08-07,6
2022-08-14,4
2022-08-21,5
2022-08-28,3
2022-09-04,10
2022-09-11,25
2022-09-18,13
2022-09-25,22
2022-10-02,100
2022-10-09,9
2022-10-16,10
2022-10-23,15
2022-10-30,11
2022-11-06,10
2022-11-13,12
2022-11-20,10
2022-11-27,12
2022-12-04,13
2022-12-11,12
2022-12-18,13
2022-12-25,10
2023-01-01,12
2023-01-08,12
2023-01-15,11
2023-01-22,11
2023-01-29,13
2023-02-05,14
2023-02-12,13
2023-02-19,11
2023-02-26,12
2023-03-05,13
2023-03-12,13
2023-03-19,13
2023-03-26,12
2023-04-02,15
2023-04-09,13
2023-04-16,17
2023-04-23,18
2023-04-30,9
2023-05-07,14
2023-05-14,13
2023-05-21,12
2023-05-28,11
2023-06-04,12
2023-06-11,15
2023-06-18,13
2023-06-25,14
2023-07-02,17
2023-07-09,17
2023-07-16,22
