Category: All categories

Week,Bratslav: (Worldwide)
2022-02-20,72
2022-02-27,51
2022-03-06,64
2022-03-13,39
2022-03-20,60
2022-03-27,63
2022-04-03,61
2022-04-10,66
2022-04-17,64
2022-04-24,75
2022-05-01,44
2022-05-08,57
2022-05-15,68
2022-05-22,64
2022-05-29,76
2022-06-05,58
2022-06-12,58
2022-06-19,70
2022-06-26,94
2022-07-03,69
2022-07-10,100
2022-07-17,46
2022-07-24,76
2022-07-31,53
2022-08-07,90
2022-08-14,53
2022-08-21,40
2022-08-28,72
2022-09-04,57
2022-09-11,56
2022-09-18,89
2022-09-25,38
2022-10-02,55
2022-10-09,46
2022-10-16,52
2022-10-23,66
2022-10-30,54
2022-11-06,46
2022-11-13,61
2022-11-20,48
2022-11-27,53
2022-12-04,59
2022-12-11,48
2022-12-18,53
2022-12-25,56
2023-01-01,39
2023-01-08,56
2023-01-15,44
2023-01-22,52
2023-01-29,53
2023-02-05,67
2023-02-12,55
2023-02-19,64
2023-02-26,66
2023-03-05,56
2023-03-12,58
2023-03-19,53
2023-03-26,80
2023-04-02,68
2023-04-09,88
2023-04-16,89
2023-04-23,89
2023-04-30,55
2023-05-07,59
2023-05-14,58
2023-05-21,91
2023-05-28,58
2023-06-04,75
2023-06-11,64
2023-06-18,84
2023-06-25,82
2023-07-02,83
2023-07-09,70
2023-07-16,67
