Category: All categories

Week,brovary: (Worldwide)
2022-02-20,36
2022-02-27,55
2022-03-06,100
2022-03-13,29
2022-03-20,21
2022-03-27,23
2022-04-03,9
2022-04-10,9
2022-04-17,11
2022-04-24,7
2022-05-01,6
2022-05-08,2
2022-05-15,3
2022-05-22,2
2022-05-29,5
2022-06-05,4
2022-06-12,3
2022-06-19,2
2022-06-26,2
2022-07-03,4
2022-07-10,3
2022-07-17,1
2022-07-24,2
2022-07-31,3
2022-08-07,2
2022-08-14,2
2022-08-21,2
2022-08-28,2
2022-09-04,3
2022-09-11,3
2022-09-18,3
2022-09-25,1
2022-10-02,3
2022-10-09,4
2022-10-16,3
2022-10-23,2
2022-10-30,2
2022-11-06,3
2022-11-13,4
2022-11-20,4
2022-11-27,2
2022-12-04,4
2022-12-11,3
2022-12-18,4
2022-12-25,3
2023-01-01,1
2023-01-08,4
2023-01-15,62
2023-01-22,7
2023-01-29,3
2023-02-05,4
2023-02-12,1
2023-02-19,2
2023-02-26,5
2023-03-05,3
2023-03-12,2
2023-03-19,2
2023-03-26,2
2023-04-02,2
2023-04-09,2
2023-04-16,2
2023-04-23,3
2023-04-30,2
2023-05-07,2
2023-05-14,2
2023-05-21,1
2023-05-28,0
2023-06-04,0
2023-06-11,1
2023-06-18,2
2023-06-25,2
2023-07-02,0
2023-07-09,2
2023-07-16,2
