Category: All categories

Week,bucha: (Worldwide)
2022-02-20,6
2022-02-27,7
2022-03-06,6
2022-03-13,6
2022-03-20,6
2022-03-27,7
2022-04-03,100
2022-04-10,13
2022-04-17,7
2022-04-24,7
2022-05-01,6
2022-05-08,7
2022-05-15,7
2022-05-22,7
2022-05-29,6
2022-06-05,6
2022-06-12,6
2022-06-19,7
2022-06-26,7
2022-07-03,6
2022-07-10,7
2022-07-17,7
2022-07-24,6
2022-07-31,6
2022-08-07,6
2022-08-14,6
2022-08-21,7
2022-08-28,6
2022-09-04,5
2022-09-11,6
2022-09-18,6
2022-09-25,6
2022-10-02,6
2022-10-09,5
2022-10-16,6
2022-10-23,6
2022-10-30,5
2022-11-06,6
2022-11-13,5
2022-11-20,5
2022-11-27,5
2022-12-04,5
2022-12-11,5
2022-12-18,5
2022-12-25,6
2023-01-01,6
2023-01-08,6
2023-01-15,6
2023-01-22,6
2023-01-29,6
2023-02-05,6
2023-02-12,6
2023-02-19,6
2023-02-26,6
2023-03-05,6
2023-03-12,6
2023-03-19,6
2023-03-26,6
2023-04-02,5
2023-04-09,7
2023-04-16,5
2023-04-23,6
2023-04-30,6
2023-05-07,6
2023-05-14,5
2023-05-21,6
2023-05-28,6
2023-06-04,6
2023-06-11,5
2023-06-18,6
2023-06-25,6
2023-07-02,6
2023-07-09,6
2023-07-16,6
