Category: All categories

Week,Buryn': (Worldwide)
2022-02-20,97
2022-02-27,35
2022-03-06,58
2022-03-13,33
2022-03-20,40
2022-03-27,100
2022-04-03,84
2022-04-10,57
2022-04-17,49
2022-04-24,47
2022-05-01,47
2022-05-08,59
2022-05-15,52
2022-05-22,48
2022-05-29,53
2022-06-05,44
2022-06-12,47
2022-06-19,60
2022-06-26,40
2022-07-03,52
2022-07-10,67
2022-07-17,55
2022-07-24,59
2022-07-31,57
2022-08-07,51
2022-08-14,54
2022-08-21,43
2022-08-28,38
2022-09-04,42
2022-09-11,54
2022-09-18,81
2022-09-25,59
2022-10-02,48
2022-10-09,44
2022-10-16,53
2022-10-23,54
2022-10-30,42
2022-11-06,39
2022-11-13,49
2022-11-20,43
2022-11-27,44
2022-12-04,31
2022-12-11,38
2022-12-18,39
2022-12-25,38
2023-01-01,51
2023-01-08,50
2023-01-15,35
2023-01-22,27
2023-01-29,30
2023-02-05,40
2023-02-12,39
2023-02-19,43
2023-02-26,44
2023-03-05,41
2023-03-12,47
2023-03-19,54
2023-03-26,60
2023-04-02,58
2023-04-09,57
2023-04-16,59
2023-04-23,54
2023-04-30,58
2023-05-07,47
2023-05-14,51
2023-05-21,61
2023-05-28,52
2023-06-04,53
2023-06-11,43
2023-06-18,51
2023-06-25,66
2023-07-02,61
2023-07-09,49
2023-07-16,47
