Category: All categories

Week,Chaplynka: (Worldwide)
2022-02-20,84
2022-02-27,20
2022-03-06,51
2022-03-13,23
2022-03-20,25
2022-03-27,57
2022-04-03,31
2022-04-10,24
2022-04-17,22
2022-04-24,18
2022-05-01,13
2022-05-08,18
2022-05-15,23
2022-05-22,23
2022-05-29,15
2022-06-05,7
2022-06-12,17
2022-06-19,19
2022-06-26,18
2022-07-03,10
2022-07-10,19
2022-07-17,14
2022-07-24,17
2022-07-31,13
2022-08-07,31
2022-08-14,13
2022-08-21,83
2022-08-28,22
2022-09-04,15
2022-09-11,18
2022-09-18,12
2022-09-25,10
2022-10-02,15
2022-10-09,43
2022-10-16,24
2022-10-23,12
2022-10-30,14
2022-11-06,44
2022-11-13,100
2022-11-20,24
2022-11-27,12
2022-12-04,17
2022-12-11,12
2022-12-18,18
2022-12-25,14
2023-01-01,14
2023-01-08,14
2023-01-15,8
2023-01-22,10
2023-01-29,11
2023-02-05,12
2023-02-12,22
2023-02-19,12
2023-02-26,10
2023-03-05,10
2023-03-12,9
2023-03-19,11
2023-03-26,12
2023-04-02,13
2023-04-09,14
2023-04-16,15
2023-04-23,14
2023-04-30,7
2023-05-07,10
2023-05-14,12
2023-05-21,10
2023-05-28,10
2023-06-04,17
2023-06-11,16
2023-06-18,14
2023-06-25,14
2023-07-02,11
2023-07-09,9
2023-07-16,9
2023-07-23,8
