Category: All categories

Week,Chasiv Yar: (Worldwide)
2022-02-20,4
2022-02-27,3
2022-03-06,2
2022-03-13,3
2022-03-20,3
2022-03-27,4
2022-04-03,4
2022-04-10,7
2022-04-17,4
2022-04-24,2
2022-05-01,4
2022-05-08,3
2022-05-15,4
2022-05-22,4
2022-05-29,4
2022-06-05,4
2022-06-12,5
2022-06-19,6
2022-06-26,3
2022-07-03,5
2022-07-10,100
2022-07-17,7
2022-07-24,4
2022-07-31,4
2022-08-07,3
2022-08-14,3
2022-08-21,2
2022-08-28,3
2022-09-04,2
2022-09-11,3
2022-09-18,3
2022-09-25,3
2022-10-02,2
2022-10-09,2
2022-10-16,2
2022-10-23,2
2022-10-30,2
2022-11-06,2
2022-11-13,4
2022-11-20,3
2022-11-27,4
2022-12-04,3
2022-12-11,3
2022-12-18,5
2022-12-25,4
2023-01-01,3
2023-01-08,5
2023-01-15,5
2023-01-22,9
2023-01-29,8
2023-02-05,8
2023-02-12,8
2023-02-19,7
2023-02-26,14
2023-03-05,8
2023-03-12,12
2023-03-19,10
2023-03-26,7
2023-04-02,6
2023-04-09,6
2023-04-16,6
2023-04-23,6
2023-04-30,6
2023-05-07,16
2023-05-14,6
2023-05-21,8
2023-05-28,5
2023-06-04,4
2023-06-11,4
2023-06-18,3
2023-06-25,3
2023-07-02,3
2023-07-09,3
2023-07-16,2
