Category: All categories

Week,cherkasy: (Worldwide)
2022-02-20,19
2022-02-27,100
2022-03-06,13
2022-03-13,10
2022-03-20,8
2022-03-27,8
2022-04-03,6
2022-04-10,6
2022-04-17,6
2022-04-24,5
2022-05-01,6
2022-05-08,4
2022-05-15,4
2022-05-22,4
2022-05-29,4
2022-06-05,4
2022-06-12,4
2022-06-19,4
2022-06-26,8
2022-07-03,3
2022-07-10,3
2022-07-17,3
2022-07-24,3
2022-07-31,3
2022-08-07,3
2022-08-14,4
2022-08-21,4
2022-08-28,3
2022-09-04,2
2022-09-11,7
2022-09-18,2
2022-09-25,3
2022-10-02,3
2022-10-09,4
2022-10-16,5
2022-10-23,5
2022-10-30,4
2022-11-06,4
2022-11-13,4
2022-11-20,4
2022-11-27,3
2022-12-04,3
2022-12-11,3
2022-12-18,4
2022-12-25,3
2023-01-01,3
2023-01-08,3
2023-01-15,3
2023-01-22,3
2023-01-29,2
2023-02-05,3
2023-02-12,4
2023-02-19,3
2023-02-26,3
2023-03-05,3
2023-03-12,3
2023-03-19,2
2023-03-26,3
2023-04-02,3
2023-04-09,4
2023-04-16,4
2023-04-23,5
2023-04-30,9
2023-05-07,3
2023-05-14,3
2023-05-21,10
2023-05-28,2
2023-06-04,7
2023-06-11,19
2023-06-18,4
2023-06-25,3
2023-07-02,4
2023-07-09,3
2023-07-16,4
