Category: All categories

Week,chernihiv: (Worldwide)
2022-02-20,47
2022-02-27,100
2022-03-06,39
2022-03-13,35
2022-03-20,35
2022-03-27,49
2022-04-03,26
2022-04-10,12
2022-04-17,9
2022-04-24,7
2022-05-01,5
2022-05-08,6
2022-05-15,6
2022-05-22,6
2022-05-29,4
2022-06-05,5
2022-06-12,4
2022-06-19,4
2022-06-26,3
2022-07-03,4
2022-07-10,3
2022-07-17,3
2022-07-24,4
2022-07-31,2
2022-08-07,3
2022-08-14,3
2022-08-21,3
2022-08-28,4
2022-09-04,6
2022-09-11,4
2022-09-18,3
2022-09-25,2
2022-10-02,3
2022-10-09,3
2022-10-16,3
2022-10-23,3
2022-10-30,4
2022-11-06,3
2022-11-13,4
2022-11-20,6
2022-11-27,3
2022-12-04,3
2022-12-11,4
2022-12-18,2
2022-12-25,4
2023-01-01,2
2023-01-08,3
2023-01-15,2
2023-01-22,3
2023-01-29,3
2023-02-05,3
2023-02-12,3
2023-02-19,5
2023-02-26,3
2023-03-05,2
2023-03-12,3
2023-03-19,2
2023-03-26,2
2023-04-02,3
2023-04-09,4
2023-04-16,3
2023-04-23,2
2023-04-30,4
2023-05-07,3
2023-05-14,3
2023-05-21,4
2023-05-28,2
2023-06-04,2
2023-06-11,3
2023-06-18,2
2023-06-25,2
2023-07-02,3
2023-07-09,3
2023-07-16,2
