Category: All categories

Week,Chernihivka: (Worldwide)
2022-02-20,56
2022-02-27,31
2022-03-06,25
2022-03-13,23
2022-03-20,15
2022-03-27,21
2022-04-03,47
2022-04-10,34
2022-04-17,18
2022-04-24,20
2022-05-01,28
2022-05-08,15
2022-05-15,21
2022-05-22,20
2022-05-29,21
2022-06-05,10
2022-06-12,21
2022-06-19,21
2022-06-26,19
2022-07-03,13
2022-07-10,16
2022-07-17,15
2022-07-24,22
2022-07-31,100
2022-08-07,18
2022-08-14,18
2022-08-21,21
2022-08-28,19
2022-09-04,14
2022-09-11,25
2022-09-18,20
2022-09-25,19
2022-10-02,32
2022-10-09,18
2022-10-16,16
2022-10-23,19
2022-10-30,17
2022-11-06,13
2022-11-13,35
2022-11-20,15
2022-11-27,16
2022-12-04,11
2022-12-11,15
2022-12-18,14
2022-12-25,11
2023-01-01,21
2023-01-08,25
2023-01-15,12
2023-01-22,12
2023-01-29,12
2023-02-05,11
2023-02-12,21
2023-02-19,22
2023-02-26,20
2023-03-05,19
2023-03-12,19
2023-03-19,18
2023-03-26,14
2023-04-02,19
2023-04-09,16
2023-04-16,23
2023-04-23,25
2023-04-30,21
2023-05-07,35
2023-05-14,18
2023-05-21,11
2023-05-28,25
2023-06-04,9
2023-06-11,8
2023-06-18,10
2023-06-25,19
2023-07-02,16
2023-07-09,21
2023-07-16,19
2023-07-23,0
