Category: All categories

Week,chernivtsi: (Worldwide)
2022-02-20,74
2022-02-27,100
2022-03-06,55
2022-03-13,38
2022-03-20,36
2022-03-27,27
2022-04-03,22
2022-04-10,20
2022-04-17,21
2022-04-24,18
2022-05-01,17
2022-05-08,11
2022-05-15,16
2022-05-22,14
2022-05-29,13
2022-06-05,13
2022-06-12,13
2022-06-19,17
2022-06-26,13
2022-07-03,12
2022-07-10,12
2022-07-17,10
2022-07-24,11
2022-07-31,11
2022-08-07,14
2022-08-14,9
2022-08-21,13
2022-08-28,10
2022-09-04,11
2022-09-11,9
2022-09-18,11
2022-09-25,13
2022-10-02,14
2022-10-09,17
2022-10-16,10
2022-10-23,10
2022-10-30,15
2022-11-06,12
2022-11-13,11
2022-11-20,14
2022-11-27,12
2022-12-04,10
2022-12-11,13
2022-12-18,12
2022-12-25,12
2023-01-01,12
2023-01-08,12
2023-01-15,11
2023-01-22,14
2023-01-29,12
2023-02-05,12
2023-02-12,12
2023-02-19,13
2023-02-26,9
2023-03-05,9
2023-03-12,11
2023-03-19,9
2023-03-26,11
2023-04-02,11
2023-04-09,10
2023-04-16,9
2023-04-23,10
2023-04-30,12
2023-05-07,12
2023-05-14,12
2023-05-21,15
2023-05-28,10
2023-06-04,14
2023-06-11,13
2023-06-18,10
2023-06-25,12
2023-07-02,12
2023-07-09,14
2023-07-16,14
