Category: All categories

Week,chernobyl: (Worldwide)
2022-02-20,100
2022-02-27,61
2022-03-06,37
2022-03-13,18
2022-03-20,14
2022-03-27,16
2022-04-03,13
2022-04-10,10
2022-04-17,9
2022-04-24,10
2022-05-01,9
2022-05-08,10
2022-05-15,8
2022-05-22,9
2022-05-29,7
2022-06-05,8
2022-06-12,6
2022-06-19,7
2022-06-26,7
2022-07-03,6
2022-07-10,6
2022-07-17,6
2022-07-24,6
2022-07-31,6
2022-08-07,6
2022-08-14,7
2022-08-21,7
2022-08-28,7
2022-09-04,6
2022-09-11,6
2022-09-18,6
2022-09-25,7
2022-10-02,7
2022-10-09,7
2022-10-16,7
2022-10-23,7
2022-10-30,6
2022-11-06,6
2022-11-13,6
2022-11-20,5
2022-11-27,5
2022-12-04,6
2022-12-11,5
2022-12-18,5
2022-12-25,7
2023-01-01,7
2023-01-08,7
2023-01-15,9
2023-01-22,9
2023-01-29,9
2023-02-05,9
2023-02-12,11
2023-02-19,9
2023-02-26,8
2023-03-05,9
2023-03-12,8
2023-03-19,8
2023-03-26,7
2023-04-02,7
2023-04-09,7
2023-04-16,7
2023-04-23,9
2023-04-30,8
2023-05-07,7
2023-05-14,7
2023-05-21,7
2023-05-28,7
2023-06-04,8
2023-06-11,8
2023-06-18,8
2023-06-25,7
2023-07-02,7
2023-07-09,5
2023-07-16,6
