Category: All categories

Week,Chervonohrad: (Worldwide)
2022-02-20,63
2022-02-27,52
2022-03-06,67
2022-03-13,63
2022-03-20,67
2022-03-27,62
2022-04-03,68
2022-04-10,73
2022-04-17,62
2022-04-24,61
2022-05-01,65
2022-05-08,64
2022-05-15,65
2022-05-22,72
2022-05-29,73
2022-06-05,65
2022-06-12,63
2022-06-19,66
2022-06-26,75
2022-07-03,76
2022-07-10,77
2022-07-17,66
2022-07-24,71
2022-07-31,100
2022-08-07,79
2022-08-14,71
2022-08-21,60
2022-08-28,62
2022-09-04,60
2022-09-11,68
2022-09-18,60
2022-09-25,62
2022-10-02,55
2022-10-09,55
2022-10-16,58
2022-10-23,63
2022-10-30,60
2022-11-06,56
2022-11-13,62
2022-11-20,50
2022-11-27,46
2022-12-04,48
2022-12-11,51
2022-12-18,51
2022-12-25,55
2023-01-01,59
2023-01-08,53
2023-01-15,50
2023-01-22,44
2023-01-29,53
2023-02-05,56
2023-02-12,58
2023-02-19,58
2023-02-26,54
2023-03-05,61
2023-03-12,61
2023-03-19,60
2023-03-26,72
2023-04-02,76
2023-04-09,64
2023-04-16,68
2023-04-23,68
2023-04-30,70
2023-05-07,61
2023-05-14,67
2023-05-21,61
2023-05-28,57
2023-06-04,70
2023-06-11,74
2023-06-18,66
2023-06-25,75
2023-07-02,67
2023-07-09,69
2023-07-16,68
2023-07-23,55
