Category: All categories

Week,Chkalovs'ke: (Worldwide)
2022-02-20,7
2022-02-27,4
2022-03-06,3
2022-03-13,5
2022-03-20,4
2022-03-27,3
2022-04-03,6
2022-04-10,5
2022-04-17,4
2022-04-24,3
2022-05-01,1
2022-05-08,3
2022-05-15,1
2022-05-22,2
2022-05-29,4
2022-06-05,3
2022-06-12,2
2022-06-19,3
2022-06-26,2
2022-07-03,0
2022-07-10,2
2022-07-17,0
2022-07-24,2
2022-07-31,0
2022-08-07,1
2022-08-14,2
2022-08-21,2
2022-08-28,0
2022-09-04,44
2022-09-11,100
2022-09-18,5
2022-09-25,2
2022-10-02,2
2022-10-09,0
2022-10-16,1
2022-10-23,4
2022-10-30,3
2022-11-06,3
2022-11-13,2
2022-11-20,3
2022-11-27,2
2022-12-04,8
2022-12-11,2
2022-12-18,0
2022-12-25,0
2023-01-01,4
2023-01-08,2
2023-01-15,3
2023-01-22,2
2023-01-29,4
2023-02-05,4
2023-02-12,2
2023-02-19,5
2023-02-26,4
2023-03-05,8
2023-03-12,6
2023-03-19,7
2023-03-26,6
2023-04-02,7
2023-04-09,3
2023-04-16,5
2023-04-23,5
2023-04-30,3
2023-05-07,4
2023-05-14,3
2023-05-21,2
2023-05-28,2
2023-06-04,5
2023-06-11,4
2023-06-18,4
2023-06-25,6
2023-07-02,3
2023-07-09,5
2023-07-16,5
2023-07-23,8
