Category: All categories

Week,Chornobaivka: (Worldwide)
2022-02-20,2
2022-02-27,0
2022-03-06,11
2022-03-13,17
2022-03-20,100
2022-03-27,30
2022-04-03,16
2022-04-10,53
2022-04-17,27
2022-04-24,43
2022-05-01,27
2022-05-08,23
2022-05-15,22
2022-05-22,9
2022-05-29,7
2022-06-05,3
2022-06-12,5
2022-06-19,4
2022-06-26,8
2022-07-03,16
2022-07-10,19
2022-07-17,11
2022-07-24,18
2022-07-31,11
2022-08-07,7
2022-08-14,12
2022-08-21,5
2022-08-28,10
2022-09-04,11
2022-09-11,11
2022-09-18,12
2022-09-25,0
2022-10-02,5
2022-10-09,4
2022-10-16,4
2022-10-23,10
2022-10-30,26
2022-11-06,34
2022-11-13,31
2022-11-20,3
2022-11-27,10
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,4
2023-01-01,6
2023-01-08,4
2023-01-15,0
2023-01-22,0
2023-01-29,3
2023-02-05,3
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,2
2023-03-12,3
2023-03-19,2
2023-03-26,5
2023-04-02,2
2023-04-09,0
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,3
2023-05-14,0
2023-05-21,0
2023-05-28,0
2023-06-04,4
2023-06-11,0
2023-06-18,4
2023-06-25,7
2023-07-02,0
2023-07-09,0
2023-07-16,2
