Category: All categories

Week,Chornomorsk: (Worldwide)
2022-02-20,100
2022-02-27,70
2022-03-06,54
2022-03-13,51
2022-03-20,54
2022-03-27,50
2022-04-03,67
2022-04-10,64
2022-04-17,51
2022-04-24,46
2022-05-01,45
2022-05-08,45
2022-05-15,54
2022-05-22,56
2022-05-29,58
2022-06-05,62
2022-06-12,57
2022-06-19,67
2022-06-26,58
2022-07-03,60
2022-07-10,57
2022-07-17,55
2022-07-24,62
2022-07-31,65
2022-08-07,62
2022-08-14,63
2022-08-21,58
2022-08-28,66
2022-09-04,61
2022-09-11,61
2022-09-18,56
2022-09-25,53
2022-10-02,48
2022-10-09,48
2022-10-16,53
2022-10-23,53
2022-10-30,54
2022-11-06,52
2022-11-13,61
2022-11-20,48
2022-11-27,45
2022-12-04,48
2022-12-11,53
2022-12-18,55
2022-12-25,53
2023-01-01,52
2023-01-08,54
2023-01-15,48
2023-01-22,52
2023-01-29,54
2023-02-05,58
2023-02-12,53
2023-02-19,55
2023-02-26,54
2023-03-05,59
2023-03-12,54
2023-03-19,53
2023-03-26,69
2023-04-02,67
2023-04-09,62
2023-04-16,68
2023-04-23,66
2023-04-30,55
2023-05-07,54
2023-05-14,51
2023-05-21,69
2023-05-28,59
2023-06-04,56
2023-06-11,59
2023-06-18,58
2023-06-25,63
2023-07-02,67
2023-07-09,62
2023-07-16,80
