Category: All categories

Week,Chuhuiv: (Worldwide)
2022-02-20,100
2022-02-27,53
2022-03-06,64
2022-03-13,24
2022-03-20,18
2022-03-27,21
2022-04-03,19
2022-04-10,16
2022-04-17,16
2022-04-24,17
2022-05-01,13
2022-05-08,12
2022-05-15,12
2022-05-22,15
2022-05-29,15
2022-06-05,12
2022-06-12,12
2022-06-19,22
2022-06-26,12
2022-07-03,11
2022-07-10,15
2022-07-17,16
2022-07-24,20
2022-07-31,16
2022-08-07,10
2022-08-14,11
2022-08-21,9
2022-08-28,9
2022-09-04,17
2022-09-11,14
2022-09-18,14
2022-09-25,11
2022-10-02,12
2022-10-09,12
2022-10-16,11
2022-10-23,12
2022-10-30,12
2022-11-06,12
2022-11-13,13
2022-11-20,12
2022-11-27,12
2022-12-04,13
2022-12-11,14
2022-12-18,14
2022-12-25,13
2023-01-01,14
2023-01-08,15
2023-01-15,13
2023-01-22,11
2023-01-29,11
2023-02-05,14
2023-02-12,14
2023-02-19,14
2023-02-26,13
2023-03-05,12
2023-03-12,14
2023-03-19,15
2023-03-26,15
2023-04-02,15
2023-04-09,13
2023-04-16,14
2023-04-23,15
2023-04-30,15
2023-05-07,15
2023-05-14,13
2023-05-21,17
2023-05-28,15
2023-06-04,15
2023-06-11,15
2023-06-18,14
2023-06-25,18
2023-07-02,15
2023-07-09,17
2023-07-16,16
2023-07-23,15
