Category: All categories

Week,Davydiv Brid: (Worldwide)
2022-02-20,<1
2022-02-27,2
2022-03-06,6
2022-03-13,<1
2022-03-20,0
2022-03-27,1
2022-04-03,1
2022-04-10,0
2022-04-17,1
2022-04-24,3
2022-05-01,1
2022-05-08,2
2022-05-15,10
2022-05-22,17
2022-05-29,41
2022-06-05,7
2022-06-12,8
2022-06-19,3
2022-06-26,2
2022-07-03,2
2022-07-10,2
2022-07-17,2
2022-07-24,2
2022-07-31,1
2022-08-07,1
2022-08-14,1
2022-08-21,1
2022-08-28,10
2022-09-04,3
2022-09-11,43
2022-09-18,3
2022-09-25,2
2022-10-02,100
2022-10-09,7
2022-10-16,7
2022-10-23,4
2022-10-30,2
2022-11-06,2
2022-11-13,0
2022-11-20,2
2022-11-27,<1
2022-12-04,1
2022-12-11,1
2022-12-18,0
2022-12-25,1
2023-01-01,1
2023-01-08,<1
2023-01-15,1
2023-01-22,0
2023-01-29,<1
2023-02-05,1
2023-02-12,1
2023-02-19,0
2023-02-26,0
2023-03-05,1
2023-03-12,1
2023-03-19,1
2023-03-26,1
2023-04-02,0
2023-04-09,<1
2023-04-16,1
2023-04-23,<1
2023-04-30,1
2023-05-07,<1
2023-05-14,0
2023-05-21,<1
2023-05-28,1
2023-06-04,1
2023-06-11,1
2023-06-18,1
2023-06-25,0
2023-07-02,1
2023-07-09,<1
2023-07-16,1
2023-07-23,4
