Category: All categories

Week,dnipro: (Worldwide)
2022-02-20,74
2022-02-27,72
2022-03-06,71
2022-03-13,37
2022-03-20,31
2022-03-27,24
2022-04-03,26
2022-04-10,50
2022-04-17,24
2022-04-24,19
2022-05-01,21
2022-05-08,16
2022-05-15,16
2022-05-22,19
2022-05-29,16
2022-06-05,15
2022-06-12,12
2022-06-19,15
2022-06-26,16
2022-07-03,13
2022-07-10,24
2022-07-17,16
2022-07-24,18
2022-07-31,15
2022-08-07,14
2022-08-14,23
2022-08-21,31
2022-08-28,19
2022-09-04,32
2022-09-11,23
2022-09-18,14
2022-09-25,19
2022-10-02,30
2022-10-09,32
2022-10-16,35
2022-10-23,30
2022-10-30,35
2022-11-06,44
2022-11-13,41
2022-11-20,41
2022-11-27,30
2022-12-04,14
2022-12-11,13
2022-12-18,13
2022-12-25,13
2023-01-01,13
2023-01-08,30
2023-01-15,100
2023-01-22,20
2023-01-29,17
2023-02-05,15
2023-02-12,29
2023-02-19,36
2023-02-26,16
2023-03-05,15
2023-03-12,16
2023-03-19,11
2023-03-26,14
2023-04-02,13
2023-04-09,17
2023-04-16,13
2023-04-23,41
2023-04-30,19
2023-05-07,20
2023-05-14,28
2023-05-21,32
2023-05-28,19
2023-06-04,47
2023-06-11,23
2023-06-18,32
2023-06-25,23
2023-07-02,18
2023-07-09,16
2023-07-16,18
