Category: All categories

Week,Dniprorudne: (Worldwide)
2022-02-20,42
2022-02-27,100
2022-03-06,33
2022-03-13,92
2022-03-20,42
2022-03-27,40
2022-04-03,38
2022-04-10,76
2022-04-17,53
2022-04-24,45
2022-05-01,34
2022-05-08,34
2022-05-15,36
2022-05-22,42
2022-05-29,20
2022-06-05,13
2022-06-12,21
2022-06-19,30
2022-06-26,22
2022-07-03,23
2022-07-10,16
2022-07-17,15
2022-07-24,14
2022-07-31,22
2022-08-07,19
2022-08-14,19
2022-08-21,12
2022-08-28,17
2022-09-04,14
2022-09-11,15
2022-09-18,14
2022-09-25,13
2022-10-02,12
2022-10-09,8
2022-10-16,12
2022-10-23,11
2022-10-30,11
2022-11-06,14
2022-11-13,16
2022-11-20,9
2022-11-27,12
2022-12-04,14
2022-12-11,16
2022-12-18,9
2022-12-25,12
2023-01-01,17
2023-01-08,13
2023-01-15,14
2023-01-22,17
2023-01-29,11
2023-02-05,9
2023-02-12,16
2023-02-19,17
2023-02-26,16
2023-03-05,14
2023-03-12,15
2023-03-19,15
2023-03-26,19
2023-04-02,16
2023-04-09,18
2023-04-16,21
2023-04-23,14
2023-04-30,18
2023-05-07,14
2023-05-14,9
2023-05-21,16
2023-05-28,16
2023-06-04,15
2023-06-11,22
2023-06-18,18
2023-06-25,14
2023-07-02,12
2023-07-09,15
2023-07-16,11
2023-07-23,14
