Category: All categories

Week,Dobropillya: (Worldwide)
2022-02-20,72
2022-02-27,73
2022-03-06,68
2022-03-13,71
2022-03-20,78
2022-03-27,79
2022-04-03,100
2022-04-10,55
2022-04-17,65
2022-04-24,68
2022-05-01,62
2022-05-08,51
2022-05-15,57
2022-05-22,59
2022-05-29,59
2022-06-05,61
2022-06-12,93
2022-06-19,49
2022-06-26,58
2022-07-03,71
2022-07-10,56
2022-07-17,53
2022-07-24,57
2022-07-31,59
2022-08-07,53
2022-08-14,57
2022-08-21,54
2022-08-28,54
2022-09-04,58
2022-09-11,57
2022-09-18,57
2022-09-25,55
2022-10-02,54
2022-10-09,63
2022-10-16,56
2022-10-23,58
2022-10-30,60
2022-11-06,51
2022-11-13,64
2022-11-20,62
2022-11-27,55
2022-12-04,61
2022-12-11,59
2022-12-18,62
2022-12-25,64
2023-01-01,67
2023-01-08,67
2023-01-15,61
2023-01-22,58
2023-01-29,58
2023-02-05,57
2023-02-12,67
2023-02-19,60
2023-02-26,65
2023-03-05,63
2023-03-12,62
2023-03-19,63
2023-03-26,78
2023-04-02,73
2023-04-09,67
2023-04-16,68
2023-04-23,77
2023-04-30,69
2023-05-07,65
2023-05-14,59
2023-05-21,73
2023-05-28,64
2023-06-04,62
2023-06-11,59
2023-06-18,65
2023-06-25,71
2023-07-02,65
2023-07-09,78
2023-07-16,57
