Category: All categories

Week,donetsk: (Worldwide)
2022-02-20,100
2022-02-27,29
2022-03-06,14
2022-03-13,14
2022-03-20,8
2022-03-27,7
2022-04-03,7
2022-04-10,8
2022-04-17,14
2022-04-24,5
2022-05-01,4
2022-05-08,4
2022-05-15,4
2022-05-22,4
2022-05-29,4
2022-06-05,4
2022-06-12,4
2022-06-19,4
2022-06-26,3
2022-07-03,6
2022-07-10,4
2022-07-17,4
2022-07-24,10
2022-07-31,5
2022-08-07,11
2022-08-14,3
2022-08-21,9
2022-08-28,6
2022-09-04,22
2022-09-11,30
2022-09-18,7
2022-09-25,10
2022-10-02,53
2022-10-09,59
2022-10-16,10
2022-10-23,22
2022-10-30,26
2022-11-06,7
2022-11-13,8
2022-11-20,8
2022-11-27,3
2022-12-04,3
2022-12-11,3
2022-12-18,2
2022-12-25,4
2023-01-01,5
2023-01-08,5
2023-01-15,7
2023-01-22,4
2023-01-29,4
2023-02-05,3
2023-02-12,14
2023-02-19,24
2023-02-26,6
2023-03-05,13
2023-03-12,14
2023-03-19,4
2023-03-26,2
2023-04-02,5
2023-04-09,4
2023-04-16,3
2023-04-23,4
2023-04-30,3
2023-05-07,4
2023-05-14,4
2023-05-21,4
2023-05-28,3
2023-06-04,4
2023-06-11,4
2023-06-18,2
2023-06-25,2
2023-07-02,3
2023-07-09,3
2023-07-16,7
