Category: All categories

Week,Dovzhansk: (Worldwide)
2022-02-20,86
2022-02-27,93
2022-03-06,67
2022-03-13,70
2022-03-20,60
2022-03-27,89
2022-04-03,86
2022-04-10,88
2022-04-17,84
2022-04-24,74
2022-05-01,73
2022-05-08,81
2022-05-15,100
2022-05-22,94
2022-05-29,89
2022-06-05,77
2022-06-12,79
2022-06-19,99
2022-06-26,74
2022-07-03,69
2022-07-10,71
2022-07-17,72
2022-07-24,59
2022-07-31,64
2022-08-07,41
2022-08-14,70
2022-08-21,49
2022-08-28,61
2022-09-04,50
2022-09-11,60
2022-09-18,63
2022-09-25,63
2022-10-02,54
2022-10-09,49
2022-10-16,57
2022-10-23,52
2022-10-30,54
2022-11-06,46
2022-11-13,54
2022-11-20,48
2022-11-27,51
2022-12-04,55
2022-12-11,51
2022-12-18,49
2022-12-25,45
2023-01-01,53
2023-01-08,56
2023-01-15,43
2023-01-22,45
2023-01-29,42
2023-02-05,41
2023-02-12,47
2023-02-19,49
2023-02-26,52
2023-03-05,51
2023-03-12,53
2023-03-19,41
2023-03-26,57
2023-04-02,54
2023-04-09,50
2023-04-16,51
2023-04-23,60
2023-04-30,48
2023-05-07,57
2023-05-14,33
2023-05-21,47
2023-05-28,43
2023-06-04,33
2023-06-11,45
2023-06-18,38
2023-06-25,34
2023-07-02,40
2023-07-09,41
2023-07-16,41
2023-07-23,66
