Category: All categories

Week,Drabiv: (Worldwide)
2022-02-20,61
2022-02-27,59
2022-03-06,67
2022-03-13,63
2022-03-20,61
2022-03-27,95
2022-04-03,70
2022-04-10,94
2022-04-17,73
2022-04-24,50
2022-05-01,59
2022-05-08,60
2022-05-15,73
2022-05-22,67
2022-05-29,74
2022-06-05,66
2022-06-12,59
2022-06-19,71
2022-06-26,73
2022-07-03,77
2022-07-10,76
2022-07-17,59
2022-07-24,58
2022-07-31,52
2022-08-07,79
2022-08-14,62
2022-08-21,53
2022-08-28,62
2022-09-04,65
2022-09-11,67
2022-09-18,80
2022-09-25,70
2022-10-02,65
2022-10-09,68
2022-10-16,92
2022-10-23,69
2022-10-30,60
2022-11-06,61
2022-11-13,54
2022-11-20,52
2022-11-27,50
2022-12-04,68
2022-12-11,53
2022-12-18,67
2022-12-25,58
2023-01-01,66
2023-01-08,54
2023-01-15,63
2023-01-22,38
2023-01-29,46
2023-02-05,54
2023-02-12,59
2023-02-19,66
2023-02-26,64
2023-03-05,63
2023-03-12,66
2023-03-19,71
2023-03-26,72
2023-04-02,84
2023-04-09,84
2023-04-16,100
2023-04-23,97
2023-04-30,74
2023-05-07,62
2023-05-14,73
2023-05-21,86
2023-05-28,60
2023-06-04,63
2023-06-11,87
2023-06-18,75
2023-06-25,85
2023-07-02,85
2023-07-09,88
2023-07-16,65
2023-07-23,70
