Category: All categories

Week,Druzhkivka: (Worldwide)
2022-02-20,40
2022-02-27,41
2022-03-06,41
2022-03-13,38
2022-03-20,37
2022-03-27,35
2022-04-03,36
2022-04-10,27
2022-04-17,26
2022-04-24,30
2022-05-01,27
2022-05-08,24
2022-05-15,30
2022-05-22,27
2022-05-29,30
2022-06-05,31
2022-06-12,26
2022-06-19,31
2022-06-26,25
2022-07-03,30
2022-07-10,27
2022-07-17,26
2022-07-24,21
2022-07-31,26
2022-08-07,23
2022-08-14,26
2022-08-21,19
2022-08-28,29
2022-09-04,20
2022-09-11,24
2022-09-18,24
2022-09-25,22
2022-10-02,21
2022-10-09,19
2022-10-16,20
2022-10-23,26
2022-10-30,24
2022-11-06,21
2022-11-13,26
2022-11-20,23
2022-11-27,22
2022-12-04,26
2022-12-11,25
2022-12-18,26
2022-12-25,26
2023-01-01,100
2023-01-08,31
2023-01-15,25
2023-01-22,24
2023-01-29,26
2023-02-05,30
2023-02-12,27
2023-02-19,29
2023-02-26,28
2023-03-05,26
2023-03-12,26
2023-03-19,30
2023-03-26,40
2023-04-02,34
2023-04-09,32
2023-04-16,31
2023-04-23,34
2023-04-30,29
2023-05-07,27
2023-05-14,27
2023-05-21,31
2023-05-28,30
2023-06-04,26
2023-06-11,27
2023-06-18,27
2023-06-25,30
2023-07-02,35
2023-07-09,32
2023-07-16,30
2023-07-23,41
