Category: All categories

Week,Dubno: (Worldwide)
2022-02-20,73
2022-02-27,47
2022-03-06,63
2022-03-13,49
2022-03-20,100
2022-03-27,77
2022-04-03,56
2022-04-10,58
2022-04-17,55
2022-04-24,52
2022-05-01,59
2022-05-08,56
2022-05-15,58
2022-05-22,63
2022-05-29,60
2022-06-05,53
2022-06-12,61
2022-06-19,62
2022-06-26,56
2022-07-03,64
2022-07-10,68
2022-07-17,54
2022-07-24,63
2022-07-31,62
2022-08-07,69
2022-08-14,61
2022-08-21,50
2022-08-28,54
2022-09-04,56
2022-09-11,62
2022-09-18,62
2022-09-25,62
2022-10-02,51
2022-10-09,52
2022-10-16,52
2022-10-23,53
2022-10-30,52
2022-11-06,49
2022-11-13,58
2022-11-20,43
2022-11-27,45
2022-12-04,49
2022-12-11,49
2022-12-18,52
2022-12-25,51
2023-01-01,51
2023-01-08,46
2023-01-15,46
2023-01-22,44
2023-01-29,49
2023-02-05,52
2023-02-12,49
2023-02-19,48
2023-02-26,51
2023-03-05,50
2023-03-12,52
2023-03-19,61
2023-03-26,63
2023-04-02,64
2023-04-09,52
2023-04-16,54
2023-04-23,62
2023-04-30,62
2023-05-07,61
2023-05-14,59
2023-05-21,54
2023-05-28,59
2023-06-04,69
2023-06-11,64
2023-06-18,60
2023-06-25,62
2023-07-02,63
2023-07-09,57
2023-07-16,63
2023-07-23,60
