Category: All categories

Week,dymer: (Worldwide)
2022-02-20,100
2022-02-27,37
2022-03-06,23
2022-03-13,12
2022-03-20,12
2022-03-27,12
2022-04-03,16
2022-04-10,7
2022-04-17,14
2022-04-24,7
2022-05-01,14
2022-05-08,17
2022-05-15,8
2022-05-22,23
2022-05-29,13
2022-06-05,15
2022-06-12,15
2022-06-19,12
2022-06-26,19
2022-07-03,10
2022-07-10,10
2022-07-17,18
2022-07-24,10
2022-07-31,14
2022-08-07,19
2022-08-14,10
2022-08-21,29
2022-08-28,16
2022-09-04,18
2022-09-11,11
2022-09-18,14
2022-09-25,30
2022-10-02,18
2022-10-09,15
2022-10-16,18
2022-10-23,10
2022-10-30,18
2022-11-06,15
2022-11-13,18
2022-11-20,12
2022-11-27,11
2022-12-04,5
2022-12-11,16
2022-12-18,11
2022-12-25,11
2023-01-01,39
2023-01-08,70
2023-01-15,16
2023-01-22,19
2023-01-29,33
2023-02-05,12
2023-02-12,22
2023-02-19,18
2023-02-26,12
2023-03-05,4
2023-03-12,12
2023-03-19,13
2023-03-26,17
2023-04-02,19
2023-04-09,24
2023-04-16,17
2023-04-23,11
2023-04-30,19
2023-05-07,10
2023-05-14,11
2023-05-21,9
2023-05-28,15
2023-06-04,4
2023-06-11,11
2023-06-18,9
2023-06-25,13
2023-07-02,9
2023-07-09,20
2023-07-16,7
