Category: All categories

Week,fastiv: (Worldwide)
2022-02-20,58
2022-02-27,100
2022-03-06,85
2022-03-13,8
2022-03-20,31
2022-03-27,25
2022-04-03,32
2022-04-10,28
2022-04-17,30
2022-04-24,57
2022-05-01,45
2022-05-08,9
2022-05-15,25
2022-05-22,0
2022-05-29,19
2022-06-05,22
2022-06-12,0
2022-06-19,0
2022-06-26,24
2022-07-03,0
2022-07-10,12
2022-07-17,31
2022-07-24,19
2022-07-31,0
2022-08-07,13
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,24
2022-09-11,11
2022-09-18,39
2022-09-25,27
2022-10-02,23
2022-10-09,8
2022-10-16,36
2022-10-23,22
2022-10-30,28
2022-11-06,0
2022-11-13,0
2022-11-20,20
2022-11-27,9
2022-12-04,14
2022-12-11,0
2022-12-18,24
2022-12-25,10
2023-01-01,20
2023-01-08,17
2023-01-15,0
2023-01-22,17
2023-01-29,32
2023-02-05,24
2023-02-12,17
2023-02-19,8
2023-02-26,28
2023-03-05,0
2023-03-12,17
2023-03-19,20
2023-03-26,27
2023-04-02,34
2023-04-09,32
2023-04-16,12
2023-04-23,18
2023-04-30,8
2023-05-07,0
2023-05-14,23
2023-05-21,18
2023-05-28,10
2023-06-04,31
2023-06-11,24
2023-06-18,16
2023-06-25,30
2023-07-02,30
2023-07-09,21
2023-07-16,9
