Category: All categories

Week,Feodosia: (Worldwide)
2022-02-20,43
2022-02-27,43
2022-03-06,43
2022-03-13,52
2022-03-20,48
2022-03-27,43
2022-04-03,47
2022-04-10,50
2022-04-17,48
2022-04-24,45
2022-05-01,52
2022-05-08,43
2022-05-15,49
2022-05-22,55
2022-05-29,63
2022-06-05,65
2022-06-12,68
2022-06-19,82
2022-06-26,81
2022-07-03,83
2022-07-10,88
2022-07-17,94
2022-07-24,100
2022-07-31,97
2022-08-07,97
2022-08-14,88
2022-08-21,79
2022-08-28,63
2022-09-04,61
2022-09-11,61
2022-09-18,51
2022-09-25,43
2022-10-02,44
2022-10-09,38
2022-10-16,40
2022-10-23,42
2022-10-30,38
2022-11-06,34
2022-11-13,41
2022-11-20,39
2022-11-27,38
2022-12-04,39
2022-12-11,42
2022-12-18,44
2022-12-25,42
2023-01-01,43
2023-01-08,42
2023-01-15,42
2023-01-22,43
2023-01-29,45
2023-02-05,45
2023-02-12,44
2023-02-19,43
2023-02-26,43
2023-03-05,42
2023-03-12,43
2023-03-19,40
2023-03-26,43
2023-04-02,61
2023-04-09,49
2023-04-16,44
2023-04-23,44
2023-04-30,45
2023-05-07,40
2023-05-14,42
2023-05-21,49
2023-05-28,52
2023-06-04,52
2023-06-11,55
2023-06-18,60
2023-06-25,58
2023-07-02,65
2023-07-09,74
2023-07-16,69
2023-07-23,72
