Category: All categories

Week,Hadyach: (Worldwide)
2022-02-20,80
2022-02-27,100
2022-03-06,73
2022-03-13,63
2022-03-20,74
2022-03-27,74
2022-04-03,77
2022-04-10,83
2022-04-17,77
2022-04-24,70
2022-05-01,63
2022-05-08,65
2022-05-15,68
2022-05-22,75
2022-05-29,78
2022-06-05,60
2022-06-12,64
2022-06-19,76
2022-06-26,69
2022-07-03,73
2022-07-10,74
2022-07-17,81
2022-07-24,73
2022-07-31,75
2022-08-07,76
2022-08-14,70
2022-08-21,59
2022-08-28,71
2022-09-04,69
2022-09-11,77
2022-09-18,69
2022-09-25,72
2022-10-02,63
2022-10-09,58
2022-10-16,67
2022-10-23,70
2022-10-30,61
2022-11-06,57
2022-11-13,73
2022-11-20,59
2022-11-27,55
2022-12-04,58
2022-12-11,73
2022-12-18,66
2022-12-25,61
2023-01-01,65
2023-01-08,71
2023-01-15,61
2023-01-22,60
2023-01-29,64
2023-02-05,60
2023-02-12,70
2023-02-19,63
2023-02-26,68
2023-03-05,71
2023-03-12,71
2023-03-19,76
2023-03-26,80
2023-04-02,80
2023-04-09,76
2023-04-16,77
2023-04-23,83
2023-04-30,66
2023-05-07,63
2023-05-14,68
2023-05-21,78
2023-05-28,61
2023-06-04,65
2023-06-11,61
2023-06-18,74
2023-06-25,75
2023-07-02,74
2023-07-09,69
2023-07-16,74
2023-07-23,66
