Category: All categories

Week,halych: (Worldwide)
2022-02-20,27
2022-02-27,30
2022-03-06,30
2022-03-13,46
2022-03-20,51
2022-03-27,35
2022-04-03,37
2022-04-10,0
2022-04-17,0
2022-04-24,28
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,64
2022-06-12,0
2022-06-19,24
2022-06-26,23
2022-07-03,0
2022-07-10,43
2022-07-17,0
2022-07-24,0
2022-07-31,44
2022-08-07,40
2022-08-14,0
2022-08-21,0
2022-08-28,30
2022-09-04,0
2022-09-11,37
2022-09-18,0
2022-09-25,22
2022-10-02,27
2022-10-09,0
2022-10-16,26
2022-10-23,100
2022-10-30,0
2022-11-06,0
2022-11-13,32
2022-11-20,27
2022-11-27,54
2022-12-04,0
2022-12-11,28
2022-12-18,0
2022-12-25,33
2023-01-01,0
2023-01-08,24
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,36
2023-02-19,25
2023-02-26,18
2023-03-05,37
2023-03-12,0
2023-03-19,37
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,21
2023-04-23,25
2023-04-30,0
2023-05-07,31
2023-05-14,45
2023-05-21,0
2023-05-28,58
2023-06-04,63
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,30
2023-07-09,0
2023-07-16,35
