Category: All categories

Week,Hlobyne: (Worldwide)
2022-02-20,56
2022-02-27,64
2022-03-06,79
2022-03-13,72
2022-03-20,79
2022-03-27,82
2022-04-03,80
2022-04-10,82
2022-04-17,87
2022-04-24,71
2022-05-01,62
2022-05-08,89
2022-05-15,75
2022-05-22,85
2022-05-29,86
2022-06-05,65
2022-06-12,80
2022-06-19,88
2022-06-26,79
2022-07-03,78
2022-07-10,97
2022-07-17,88
2022-07-24,76
2022-07-31,96
2022-08-07,78
2022-08-14,83
2022-08-21,66
2022-08-28,77
2022-09-04,71
2022-09-11,87
2022-09-18,84
2022-09-25,82
2022-10-02,82
2022-10-09,61
2022-10-16,86
2022-10-23,72
2022-10-30,80
2022-11-06,64
2022-11-13,78
2022-11-20,68
2022-11-27,69
2022-12-04,63
2022-12-11,79
2022-12-18,74
2022-12-25,64
2023-01-01,75
2023-01-08,67
2023-01-15,56
2023-01-22,64
2023-01-29,64
2023-02-05,69
2023-02-12,73
2023-02-19,71
2023-02-26,66
2023-03-05,76
2023-03-12,73
2023-03-19,73
2023-03-26,84
2023-04-02,86
2023-04-09,82
2023-04-16,93
2023-04-23,81
2023-04-30,75
2023-05-07,72
2023-05-14,61
2023-05-21,98
2023-05-28,82
2023-06-04,68
2023-06-11,76
2023-06-18,78
2023-06-25,100
2023-07-02,94
2023-07-09,80
2023-07-16,85
2023-07-23,79
