Category: All categories

Week,Horlivka: (Worldwide)
2022-02-20,64
2022-02-27,100
2022-03-06,46
2022-03-13,39
2022-03-20,36
2022-03-27,41
2022-04-03,35
2022-04-10,34
2022-04-17,34
2022-04-24,30
2022-05-01,30
2022-05-08,35
2022-05-15,31
2022-05-22,33
2022-05-29,36
2022-06-05,32
2022-06-12,33
2022-06-19,32
2022-06-26,24
2022-07-03,29
2022-07-10,33
2022-07-17,29
2022-07-24,19
2022-07-31,15
2022-08-07,14
2022-08-14,19
2022-08-21,21
2022-08-28,19
2022-09-04,18
2022-09-11,21
2022-09-18,21
2022-09-25,19
2022-10-02,19
2022-10-09,17
2022-10-16,16
2022-10-23,18
2022-10-30,15
2022-11-06,15
2022-11-13,17
2022-11-20,14
2022-11-27,13
2022-12-04,14
2022-12-11,15
2022-12-18,15
2022-12-25,12
2023-01-01,13
2023-01-08,14
2023-01-15,13
2023-01-22,13
2023-01-29,12
2023-02-05,12
2023-02-12,13
2023-02-19,11
2023-02-26,14
2023-03-05,12
2023-03-12,12
2023-03-19,12
2023-03-26,13
2023-04-02,13
2023-04-09,13
2023-04-16,12
2023-04-23,12
2023-04-30,11
2023-05-07,17
2023-05-14,12
2023-05-21,13
2023-05-28,12
2023-06-04,12
2023-06-11,10
2023-06-18,10
2023-06-25,11
2023-07-02,11
2023-07-09,10
2023-07-16,11
