Category: All categories

Week,Ichnya: (Worldwide)
2022-02-20,100
2022-02-27,94
2022-03-06,59
2022-03-13,68
2022-03-20,62
2022-03-27,96
2022-04-03,82
2022-04-10,87
2022-04-17,76
2022-04-24,71
2022-05-01,57
2022-05-08,78
2022-05-15,85
2022-05-22,68
2022-05-29,80
2022-06-05,68
2022-06-12,95
2022-06-19,90
2022-06-26,78
2022-07-03,83
2022-07-10,90
2022-07-17,83
2022-07-24,70
2022-07-31,77
2022-08-07,70
2022-08-14,71
2022-08-21,58
2022-08-28,54
2022-09-04,67
2022-09-11,87
2022-09-18,77
2022-09-25,68
2022-10-02,82
2022-10-09,53
2022-10-16,78
2022-10-23,66
2022-10-30,52
2022-11-06,54
2022-11-13,75
2022-11-20,52
2022-11-27,53
2022-12-04,82
2022-12-11,77
2022-12-18,61
2022-12-25,55
2023-01-01,79
2023-01-08,69
2023-01-15,62
2023-01-22,72
2023-01-29,51
2023-02-05,68
2023-02-12,53
2023-02-19,66
2023-02-26,61
2023-03-05,67
2023-03-12,66
2023-03-19,81
2023-03-26,85
2023-04-02,90
2023-04-09,89
2023-04-16,80
2023-04-23,83
2023-04-30,77
2023-05-07,68
2023-05-14,72
2023-05-21,87
2023-05-28,66
2023-06-04,74
2023-06-11,74
2023-06-18,91
2023-06-25,88
2023-07-02,82
2023-07-09,80
2023-07-16,87
2023-07-23,85
