Category: All categories

Week,Irpin: (Worldwide)
2022-02-20,38
2022-02-27,74
2022-03-06,100
2022-03-13,43
2022-03-20,49
2022-03-27,69
2022-04-03,57
2022-04-10,24
2022-04-17,20
2022-04-24,16
2022-05-01,15
2022-05-08,17
2022-05-15,18
2022-05-22,19
2022-05-29,19
2022-06-05,18
2022-06-12,26
2022-06-19,22
2022-06-26,20
2022-07-03,20
2022-07-10,21
2022-07-17,21
2022-07-24,20
2022-07-31,23
2022-08-07,24
2022-08-14,23
2022-08-21,21
2022-08-28,21
2022-09-04,21
2022-09-11,22
2022-09-18,22
2022-09-25,21
2022-10-02,20
2022-10-09,18
2022-10-16,17
2022-10-23,18
2022-10-30,17
2022-11-06,16
2022-11-13,17
2022-11-20,15
2022-11-27,14
2022-12-04,15
2022-12-11,16
2022-12-18,14
2022-12-25,17
2023-01-01,16
2023-01-08,17
2023-01-15,17
2023-01-22,16
2023-01-29,17
2023-02-05,18
2023-02-12,19
2023-02-19,21
2023-02-26,20
2023-03-05,19
2023-03-12,19
2023-03-19,20
2023-03-26,22
2023-04-02,22
2023-04-09,21
2023-04-16,20
2023-04-23,21
2023-04-30,20
2023-05-07,19
2023-05-14,20
2023-05-21,20
2023-05-28,20
2023-06-04,21
2023-06-11,21
2023-06-18,21
2023-06-25,22
2023-07-02,23
2023-07-09,22
2023-07-16,22
