Category: All categories

Week,Ivanivka: (Worldwide)
2022-02-20,4
2022-02-27,3
2022-03-06,3
2022-03-13,2
2022-03-20,2
2022-03-27,2
2022-04-03,3
2022-04-10,4
2022-04-17,3
2022-04-24,3
2022-05-01,4
2022-05-08,3
2022-05-15,4
2022-05-22,2
2022-05-29,7
2022-06-05,1
2022-06-12,1
2022-06-19,3
2022-06-26,22
2022-07-03,14
2022-07-10,100
2022-07-17,7
2022-07-24,5
2022-07-31,9
2022-08-07,6
2022-08-14,5
2022-08-21,3
2022-08-28,2
2022-09-04,6
2022-09-11,3
2022-09-18,2
2022-09-25,1
2022-10-02,3
2022-10-09,3
2022-10-16,2
2022-10-23,2
2022-10-30,3
2022-11-06,2
2022-11-13,2
2022-11-20,2
2022-11-27,2
2022-12-04,4
2022-12-11,2
2022-12-18,2
2022-12-25,2
2023-01-01,3
2023-01-08,2
2023-01-15,2
2023-01-22,2
2023-01-29,2
2023-02-05,3
2023-02-12,2
2023-02-19,2
2023-02-26,3
2023-03-05,2
2023-03-12,2
2023-03-19,2
2023-03-26,3
2023-04-02,2
2023-04-09,2
2023-04-16,2
2023-04-23,2
2023-04-30,1
2023-05-07,2
2023-05-14,3
2023-05-21,1
2023-05-28,5
2023-06-04,3
2023-06-11,2
2023-06-18,2
2023-06-25,2
2023-07-02,2
2023-07-09,4
2023-07-16,2
2023-07-23,5
