Category: All categories

Week,ivano-frankivsk: (Worldwide)
2022-02-20,100
2022-02-27,36
2022-03-06,51
2022-03-13,37
2022-03-20,17
2022-03-27,14
2022-04-03,12
2022-04-10,14
2022-04-17,14
2022-04-24,12
2022-05-01,10
2022-05-08,8
2022-05-15,11
2022-05-22,9
2022-05-29,13
2022-06-05,9
2022-06-12,11
2022-06-19,11
2022-06-26,8
2022-07-03,9
2022-07-10,10
2022-07-17,6
2022-07-24,10
2022-07-31,7
2022-08-07,10
2022-08-14,9
2022-08-21,7
2022-08-28,11
2022-09-04,9
2022-09-11,8
2022-09-18,7
2022-09-25,10
2022-10-02,6
2022-10-09,12
2022-10-16,11
2022-10-23,8
2022-10-30,10
2022-11-06,6
2022-11-13,11
2022-11-20,5
2022-11-27,8
2022-12-04,8
2022-12-11,4
2022-12-18,8
2022-12-25,8
2023-01-01,7
2023-01-08,8
2023-01-15,6
2023-01-22,8
2023-01-29,10
2023-02-05,10
2023-02-12,7
2023-02-19,9
2023-02-26,7
2023-03-05,9
2023-03-12,6
2023-03-19,10
2023-03-26,11
2023-04-02,8
2023-04-09,9
2023-04-16,7
2023-04-23,5
2023-04-30,7
2023-05-07,6
2023-05-14,4
2023-05-21,6
2023-05-28,9
2023-06-04,5
2023-06-11,8
2023-06-18,8
2023-06-25,6
2023-07-02,5
2023-07-09,6
2023-07-16,5
