Category: All categories

Week,izium: (Worldwide)
2022-02-20,0
2022-02-27,4
2022-03-06,7
2022-03-13,9
2022-03-20,17
2022-03-27,23
2022-04-03,24
2022-04-10,18
2022-04-17,11
2022-04-24,11
2022-05-01,22
2022-05-08,14
2022-05-15,16
2022-05-22,5
2022-05-29,3
2022-06-05,4
2022-06-12,3
2022-06-19,2
2022-06-26,3
2022-07-03,2
2022-07-10,1
2022-07-17,1
2022-07-24,1
2022-07-31,2
2022-08-07,3
2022-08-14,1
2022-08-21,1
2022-08-28,1
2022-09-04,78
2022-09-11,100
2022-09-18,32
2022-09-25,9
2022-10-02,7
2022-10-09,3
2022-10-16,3
2022-10-23,3
2022-10-30,1
2022-11-06,2
2022-11-13,2
2022-11-20,2
2022-11-27,1
2022-12-04,1
2022-12-11,1
2022-12-18,2
2022-12-25,1
2023-01-01,1
2023-01-08,2
2023-01-15,3
2023-01-22,2
2023-01-29,2
2023-02-05,1
2023-02-12,1
2023-02-19,4
2023-02-26,2
2023-03-05,1
2023-03-12,1
2023-03-19,2
2023-03-26,3
2023-04-02,1
2023-04-09,1
2023-04-16,1
2023-04-23,1
2023-04-30,1
2023-05-07,1
2023-05-14,1
2023-05-21,2
2023-05-28,1
2023-06-04,1
2023-06-11,1
2023-06-18,1
2023-06-25,1
2023-07-02,1
2023-07-09,1
2023-07-16,2
