Category: All categories

Week,Izmail: (Worldwide)
2022-02-20,55
2022-02-27,100
2022-03-06,44
2022-03-13,33
2022-03-20,29
2022-03-27,19
2022-04-03,27
2022-04-10,25
2022-04-17,20
2022-04-24,24
2022-05-01,20
2022-05-08,18
2022-05-15,19
2022-05-22,14
2022-05-29,23
2022-06-05,15
2022-06-12,18
2022-06-19,23
2022-06-26,19
2022-07-03,13
2022-07-10,23
2022-07-17,15
2022-07-24,22
2022-07-31,15
2022-08-07,16
2022-08-14,17
2022-08-21,18
2022-08-28,19
2022-09-04,14
2022-09-11,12
2022-09-18,13
2022-09-25,15
2022-10-02,12
2022-10-09,11
2022-10-16,13
2022-10-23,11
2022-10-30,13
2022-11-06,13
2022-11-13,16
2022-11-20,12
2022-11-27,14
2022-12-04,11
2022-12-11,14
2022-12-18,14
2022-12-25,17
2023-01-01,10
2023-01-08,10
2023-01-15,14
2023-01-22,12
2023-01-29,21
2023-02-05,17
2023-02-12,15
2023-02-19,17
2023-02-26,13
2023-03-05,12
2023-03-12,15
2023-03-19,10
2023-03-26,12
2023-04-02,18
2023-04-09,13
2023-04-16,19
2023-04-23,16
2023-04-30,13
2023-05-07,13
2023-05-14,16
2023-05-21,14
2023-05-28,8
2023-06-04,13
2023-06-11,13
2023-06-18,10
2023-06-25,13
2023-07-02,13
2023-07-09,12
2023-07-16,22
