Category: All categories

Week,Kalanchak: (Worldwide)
2022-02-20,100
2022-02-27,16
2022-03-06,24
2022-03-13,21
2022-03-20,23
2022-03-27,23
2022-04-03,25
2022-04-10,19
2022-04-17,25
2022-04-24,16
2022-05-01,10
2022-05-08,20
2022-05-15,21
2022-05-22,18
2022-05-29,13
2022-06-05,15
2022-06-12,14
2022-06-19,19
2022-06-26,17
2022-07-03,14
2022-07-10,12
2022-07-17,11
2022-07-24,15
2022-07-31,19
2022-08-07,13
2022-08-14,14
2022-08-21,11
2022-08-28,12
2022-09-04,17
2022-09-11,17
2022-09-18,13
2022-09-25,13
2022-10-02,14
2022-10-09,9
2022-10-16,8
2022-10-23,6
2022-10-30,12
2022-11-06,17
2022-11-13,25
2022-11-20,11
2022-11-27,8
2022-12-04,12
2022-12-11,9
2022-12-18,14
2022-12-25,13
2023-01-01,16
2023-01-08,11
2023-01-15,8
2023-01-22,10
2023-01-29,11
2023-02-05,9
2023-02-12,10
2023-02-19,19
2023-02-26,9
2023-03-05,9
2023-03-12,7
2023-03-19,16
2023-03-26,16
2023-04-02,17
2023-04-09,16
2023-04-16,18
2023-04-23,16
2023-04-30,9
2023-05-07,10
2023-05-14,9
2023-05-21,12
2023-05-28,12
2023-06-04,13
2023-06-11,16
2023-06-18,10
2023-06-25,12
2023-07-02,12
2023-07-09,13
2023-07-16,8
2023-07-23,14
