Category: All categories

Week,kamianske: (Worldwide)
2022-02-20,69
2022-02-27,100
2022-03-06,0
2022-03-13,13
2022-03-20,48
2022-03-27,16
2022-04-03,41
2022-04-10,26
2022-04-17,0
2022-04-24,17
2022-05-01,30
2022-05-08,11
2022-05-15,56
2022-05-22,25
2022-05-29,19
2022-06-05,0
2022-06-12,0
2022-06-19,34
2022-06-26,23
2022-07-03,30
2022-07-10,43
2022-07-17,13
2022-07-24,28
2022-07-31,55
2022-08-07,23
2022-08-14,25
2022-08-21,37
2022-08-28,0
2022-09-04,32
2022-09-11,11
2022-09-18,26
2022-09-25,0
2022-10-02,15
2022-10-09,0
2022-10-16,33
2022-10-23,43
2022-10-30,20
2022-11-06,0
2022-11-13,20
2022-11-20,42
2022-11-27,31
2022-12-04,0
2022-12-11,0
2022-12-18,24
2022-12-25,0
2023-01-01,34
2023-01-08,15
2023-01-15,21
2023-01-22,74
2023-01-29,55
2023-02-05,0
2023-02-12,0
2023-02-19,35
2023-02-26,18
2023-03-05,0
2023-03-12,35
2023-03-19,14
2023-03-26,0
2023-04-02,14
2023-04-09,30
2023-04-16,14
2023-04-23,26
2023-04-30,16
2023-05-07,12
2023-05-14,11
2023-05-21,0
2023-05-28,0
2023-06-04,19
2023-06-11,24
2023-06-18,27
2023-06-25,0
2023-07-02,15
2023-07-09,33
2023-07-16,47
