Category: All categories

Week,Kam'yanka-Dniprovs'ka: (Worldwide)
2022-02-20,58
2022-02-27,100
2022-03-06,35
2022-03-13,44
2022-03-20,35
2022-03-27,47
2022-04-03,45
2022-04-10,62
2022-04-17,39
2022-04-24,42
2022-05-01,25
2022-05-08,28
2022-05-15,38
2022-05-22,39
2022-05-29,21
2022-06-05,19
2022-06-12,27
2022-06-19,31
2022-06-26,22
2022-07-03,32
2022-07-10,27
2022-07-17,22
2022-07-24,30
2022-07-31,20
2022-08-07,19
2022-08-14,20
2022-08-21,19
2022-08-28,25
2022-09-04,27
2022-09-11,27
2022-09-18,12
2022-09-25,16
2022-10-02,15
2022-10-09,15
2022-10-16,18
2022-10-23,11
2022-10-30,16
2022-11-06,16
2022-11-13,14
2022-11-20,18
2022-11-27,17
2022-12-04,24
2022-12-11,17
2022-12-18,12
2022-12-25,13
2023-01-01,31
2023-01-08,19
2023-01-15,19
2023-01-22,11
2023-01-29,17
2023-02-05,16
2023-02-12,16
2023-02-19,13
2023-02-26,23
2023-03-05,19
2023-03-12,20
2023-03-19,19
2023-03-26,30
2023-04-02,23
2023-04-09,25
2023-04-16,19
2023-04-23,28
2023-04-30,30
2023-05-07,23
2023-05-14,12
2023-05-21,18
2023-05-28,12
2023-06-04,20
2023-06-11,14
2023-06-18,21
2023-06-25,16
2023-07-02,8
2023-07-09,14
2023-07-16,13
2023-07-23,14
