Category: All categories

Week,kaniv: (Worldwide)
2022-02-20,22
2022-02-27,50
2022-03-06,100
2022-03-13,12
2022-03-20,26
2022-03-27,10
2022-04-03,20
2022-04-10,0
2022-04-17,13
2022-04-24,29
2022-05-01,5
2022-05-08,6
2022-05-15,0
2022-05-22,15
2022-05-29,6
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,23
2022-07-17,0
2022-07-24,7
2022-07-31,23
2022-08-07,13
2022-08-14,8
2022-08-21,0
2022-08-28,0
2022-09-04,12
2022-09-11,0
2022-09-18,5
2022-09-25,0
2022-10-02,5
2022-10-09,0
2022-10-16,10
2022-10-23,11
2022-10-30,8
2022-11-06,0
2022-11-13,0
2022-11-20,11
2022-11-27,21
2022-12-04,6
2022-12-11,8
2022-12-18,12
2022-12-25,9
2023-01-01,0
2023-01-08,0
2023-01-15,6
2023-01-22,0
2023-01-29,9
2023-02-05,9
2023-02-12,0
2023-02-19,10
2023-02-26,11
2023-03-05,0
2023-03-12,15
2023-03-19,6
2023-03-26,0
2023-04-02,15
2023-04-09,0
2023-04-16,7
2023-04-23,6
2023-04-30,14
2023-05-07,0
2023-05-14,18
2023-05-21,8
2023-05-28,9
2023-06-04,11
2023-06-11,17
2023-06-18,7
2023-06-25,0
2023-07-02,0
2023-07-09,0
2023-07-16,11
