Category: All categories

Week,Karlivka: (Worldwide)
2022-02-20,26
2022-02-27,21
2022-03-06,24
2022-03-13,22
2022-03-20,24
2022-03-27,29
2022-04-03,25
2022-04-10,27
2022-04-17,30
2022-04-24,27
2022-05-01,100
2022-05-08,60
2022-05-15,29
2022-05-22,28
2022-05-29,32
2022-06-05,21
2022-06-12,29
2022-06-19,28
2022-06-26,26
2022-07-03,30
2022-07-10,32
2022-07-17,32
2022-07-24,28
2022-07-31,32
2022-08-07,25
2022-08-14,29
2022-08-21,22
2022-08-28,24
2022-09-04,26
2022-09-11,28
2022-09-18,27
2022-09-25,27
2022-10-02,25
2022-10-09,19
2022-10-16,23
2022-10-23,27
2022-10-30,24
2022-11-06,22
2022-11-13,26
2022-11-20,21
2022-11-27,20
2022-12-04,23
2022-12-11,21
2022-12-18,22
2022-12-25,21
2023-01-01,24
2023-01-08,24
2023-01-15,22
2023-01-22,17
2023-01-29,20
2023-02-05,20
2023-02-12,23
2023-02-19,22
2023-02-26,23
2023-03-05,24
2023-03-12,26
2023-03-19,22
2023-03-26,28
2023-04-02,28
2023-04-09,28
2023-04-16,38
2023-04-23,30
2023-04-30,28
2023-05-07,20
2023-05-14,23
2023-05-21,44
2023-05-28,26
2023-06-04,27
2023-06-11,30
2023-06-18,26
2023-06-25,31
2023-07-02,29
2023-07-09,29
2023-07-16,24
2023-07-23,20
