Category: All categories

Week,kazanka: (Worldwide)
2022-02-20,16
2022-02-27,0
2022-03-06,0
2022-03-13,10
2022-03-20,21
2022-03-27,28
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,14
2022-05-01,43
2022-05-08,27
2022-05-15,14
2022-05-22,13
2022-05-29,16
2022-06-05,23
2022-06-12,0
2022-06-19,19
2022-06-26,0
2022-07-03,12
2022-07-10,25
2022-07-17,14
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,11
2022-08-21,0
2022-08-28,0
2022-09-04,13
2022-09-11,10
2022-09-18,0
2022-09-25,24
2022-10-02,0
2022-10-09,0
2022-10-16,0
2022-10-23,0
2022-10-30,0
2022-11-06,0
2022-11-13,0
2022-11-20,0
2022-11-27,35
2022-12-04,0
2022-12-11,0
2022-12-18,17
2022-12-25,18
2023-01-01,11
2023-01-08,0
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,14
2023-02-12,0
2023-02-19,26
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,35
2023-03-26,23
2023-04-02,23
2023-04-09,11
2023-04-16,16
2023-04-23,0
2023-04-30,0
2023-05-07,0
2023-05-14,0
2023-05-21,38
2023-05-28,10
2023-06-04,11
2023-06-11,17
2023-06-18,0
2023-06-25,11
2023-07-02,13
2023-07-09,17
2023-07-16,0
2023-07-23,100
